true,predicted,count,share_of_true_class
Lower respiratory disease,Non-ST elevation (NSTEMI) myocardial infarction,11,0.02981029810298103
UTI or pyelonephritis,Hypokalemia,11,0.026634382566585957
Unsp intestnl obst,Dehydration,11,0.09401709401709402
Acute kidney failure,Hypokalemia,10,0.078125
Back or spine pain,Anxiety disorder,10,0.011695906432748537
Back or spine pain,Skin or soft-tissue infection,10,0.011695906432748537
Lower respiratory disease,Diabetes mellitus,10,0.02710027100271003
Multiple fractures of ribs,Head injury,10,0.14285714285714285
UTI or pyelonephritis,Back or spine pain,10,0.024213075060532687
UTI or pyelonephritis,Hypothyroidism,10,0.024213075060532687
Acute upper respiratory infection,Unspecified asthma with (acute) exacerbation,9,0.10975609756097561
Alcohol abuse with intoxication,Dehydration,9,0.02608695652173913
Cardiovascular risk factor,Back or spine pain,9,0.012016021361815754
Cardiovascular risk factor,Skin or soft-tissue infection,9,0.012016021361815754
Dehydration,Acute upper respiratory infection,9,0.06976744186046512
Head injury,Dehydration,9,0.017928286852589643
Limb injury or pain,Acute pharyngitis,9,0.009966777408637873
Skin or soft-tissue infection,Hypokalemia,9,0.02313624678663239
UTI or pyelonephritis,Skin or soft-tissue infection,9,0.021791767554479417
Unspecified atrial fibrillation,Hypokalemia,9,0.05027932960893855
Unspecified atrial fibrillation,Non-ST elevation (NSTEMI) myocardial infarction,9,0.05027932960893855
Acute upper respiratory infection,Acute pharyngitis,8,0.0975609756097561
Anemia,GI bleed,8,0.07017543859649122
Back or spine pain,Lower respiratory disease,8,0.00935672514619883
Diabetes mellitus,Acute kidney failure,8,0.018823529411764704
Diabetes mellitus,Anemia,8,0.018823529411764704
Diabetes mellitus,Non-ST elevation (NSTEMI) myocardial infarction,8,0.018823529411764704
End stage renal disease,Hypokalemia,8,0.18181818181818182
GI bleed,Cardiovascular risk factor,8,0.026490066225165563
Head injury,Non-ST elevation (NSTEMI) myocardial infarction,8,0.01593625498007968
Hypokalemia,Anemia,8,0.06299212598425197
Skin or soft-tissue infection,Back or spine pain,8,0.02056555269922879
Unspecified atrial fibrillation,Lower respiratory disease,8,0.0446927374301676
Back or spine pain,Hypokalemia,7,0.008187134502923977
Back or spine pain,Unspecified atrial fibrillation,7,0.008187134502923977
Dehydration,Anxiety disorder,7,0.05426356589147287
Heart failure,Lower respiratory disease,7,0.08235294117647059
Hypotension,Sepsis,7,0.14893617021276595
Limb injury or pain,Lower respiratory disease,7,0.007751937984496124
Lower respiratory disease,Anemia,7,0.018970189701897018
Lower respiratory disease,Dehydration,7,0.018970189701897018
Lower respiratory disease,Multiple fractures of ribs,7,0.018970189701897018
Major depressive disorder,Dehydration,7,0.026217228464419477
Skin or soft-tissue infection,Laceration w/o fb of l idx fngr w/o damage to nail,7,0.017994858611825194
UTI or pyelonephritis,Unsp intestnl obst,7,0.01694915254237288
Unspecified asthma with (acute) exacerbation,Lower respiratory disease,7,0.0625
Unspecified atrial fibrillation,Diabetes mellitus,7,0.03910614525139665
Acute kidney failure,End stage renal disease,6,0.046875
