true,predicted,count,share_of_true_class
End stage renal disease,Head injury,1,0.022727272727272728
End stage renal disease,Hypotension,1,0.022727272727272728
End stage renal disease,Non-ST elevation (NSTEMI) myocardial infarction,1,0.022727272727272728
End stage renal disease,Skin or soft-tissue infection,1,0.022727272727272728
End stage renal disease,UTI or pyelonephritis,1,0.022727272727272728
Epilepsy,Alcohol abuse with intoxication,1,0.010309278350515464
Epilepsy,Diabetes mellitus,1,0.010309278350515464
Epilepsy,GI bleed,1,0.010309278350515464
Epilepsy,Heart failure,1,0.010309278350515464
Epilepsy,Hypotension,1,0.010309278350515464
Epilepsy,Skin or soft-tissue infection,1,0.010309278350515464
Epilepsy,Unspecified asthma with (acute) exacerbation,1,0.010309278350515464
Epilepsy,Unspecified atrial fibrillation,1,0.010309278350515464
GI bleed,Diabetes mellitus,1,0.0033112582781456954
GI bleed,Limb injury or pain,1,0.0033112582781456954
GI bleed,Non-ST elevation (NSTEMI) myocardial infarction,1,0.0033112582781456954
Head injury,GI bleed,1,0.00199203187250996
Heart failure,End stage renal disease,1,0.011764705882352941
Heart failure,Hypotension,1,0.011764705882352941
Hypokalemia,Anxiety disorder,1,0.007874015748031496
Hypokalemia,End stage renal disease,1,0.007874015748031496
Hypokalemia,GI bleed,1,0.007874015748031496
Hypokalemia,Hypothyroidism,1,0.007874015748031496
Hypokalemia,Lower respiratory disease,1,0.007874015748031496
Hypokalemia,Multiple fractures of ribs,1,0.007874015748031496
Hypokalemia,UTI or pyelonephritis,1,0.007874015748031496
Hypokalemia,Unspecified asthma with (acute) exacerbation,1,0.007874015748031496
Hypotension,Acute pharyngitis,1,0.02127659574468085
Hypotension,Alcohol abuse with intoxication,1,0.02127659574468085
Hypotension,Cardiovascular risk factor,1,0.02127659574468085
Hypotension,End stage renal disease,1,0.02127659574468085
Hypotension,GI bleed,1,0.02127659574468085
Hypotension,Lower respiratory disease,1,0.02127659574468085
Hypotension,Multiple fractures of ribs,1,0.02127659574468085
Hypotension,Non-ST elevation (NSTEMI) myocardial infarction,1,0.02127659574468085
Hypothyroidism,Alcohol abuse with intoxication,1,0.015384615384615385
Hypothyroidism,Back or spine pain,1,0.015384615384615385
Hypothyroidism,Epilepsy,1,0.015384615384615385
Hypothyroidism,Head injury,1,0.015384615384615385
Hypothyroidism,Lower respiratory disease,1,0.015384615384615385
Hypothyroidism,Multiple fractures of ribs,1,0.015384615384615385
Hypothyroidism,UTI or pyelonephritis,1,0.015384615384615385
Hypothyroidism,Unsp intestnl obst,1,0.015384615384615385
Laceration w/o fb of l idx fngr w/o damage to nail,Dehydration,1,0.00819672131147541
Laceration w/o fb of l idx fngr w/o damage to nail,Diabetes mellitus,1,0.00819672131147541
Laceration w/o fb of l idx fngr w/o damage to nail,Head injury,1,0.00819672131147541
Laceration w/o fb of l idx fngr w/o damage to nail,Major depressive disorder,1,0.00819672131147541
Laceration w/o fb of l idx fngr w/o damage to nail,Unspecified asthma with (acute) exacerbation,1,0.00819672131147541
Limb injury or pain,Sepsis,1,0.0011074197120708748
Lower respiratory disease,Anxiety disorder,1,0.0027100271002710027
Lower respiratory disease,Limb injury or pain,1,0.0027100271002710027
Lower respiratory disease,Skin or soft-tissue infection,1,0.0027100271002710027
Major depressive disorder,Acute kidney failure,1,0.003745318352059925
Major depressive disorder,Acute upper respiratory infection,1,0.003745318352059925
Major depressive disorder,Anemia,1,0.003745318352059925
Major depressive disorder,Diabetes mellitus,1,0.003745318352059925
Major depressive disorder,GI bleed,1,0.003745318352059925
Major depressive disorder,Head injury,1,0.003745318352059925
Major depressive disorder,Lower respiratory disease,1,0.003745318352059925
Multiple fractures of ribs,Anemia,1,0.014285714285714285
Multiple fractures of ribs,Cardiovascular risk factor,1,0.014285714285714285
Multiple fractures of ribs,Diabetes mellitus,1,0.014285714285714285
Multiple fractures of ribs,Hypokalemia,1,0.014285714285714285
Multiple fractures of ribs,Hypothyroidism,1,0.014285714285714285
Multiple fractures of ribs,Laceration w/o fb of l idx fngr w/o damage to nail,1,0.014285714285714285
Multiple fractures of ribs,Limb injury or pain,1,0.014285714285714285
Multiple fractures of ribs,Non-ST elevation (NSTEMI) myocardial infarction,1,0.014285714285714285
Multiple fractures of ribs,Skin or soft-tissue infection,1,0.014285714285714285
Multiple fractures of ribs,UTI or pyelonephritis,1,0.014285714285714285
Multiple fractures of ribs,Unspecified asthma with (acute) exacerbation,1,0.014285714285714285
Non-ST elevation (NSTEMI) myocardial infarction,Acute kidney failure,1,0.013888888888888888
Non-ST elevation (NSTEMI) myocardial infarction,Anemia,1,0.013888888888888888
Non-ST elevation (NSTEMI) myocardial infarction,Dehydration,1,0.013888888888888888
Non-ST elevation (NSTEMI) myocardial infarction,Diabetes mellitus,1,0.013888888888888888
Non-ST elevation (NSTEMI) myocardial infarction,GI bleed,1,0.013888888888888888
Non-ST elevation (NSTEMI) myocardial infarction,Hypotension,1,0.013888888888888888
Non-ST elevation (NSTEMI) myocardial infarction,Limb injury or pain,1,0.013888888888888888
Non-ST elevation (NSTEMI) myocardial infarction,Lower respiratory disease,1,0.013888888888888888
Sepsis,Back or spine pain,1,0.024390243902439025
Sepsis,Diabetes mellitus,1,0.024390243902439025
Sepsis,GI bleed,1,0.024390243902439025
Sepsis,Heart failure,1,0.024390243902439025
Sepsis,Hypokalemia,1,0.024390243902439025
Sepsis,Hypotension,1,0.024390243902439025
Sepsis,Skin or soft-tissue infection,1,0.024390243902439025
Sepsis,UTI or pyelonephritis,1,0.024390243902439025
Sepsis,Unsp intestnl obst,1,0.024390243902439025
Sepsis,Unspecified atrial fibrillation,1,0.024390243902439025
Skin or soft-tissue infection,End stage renal disease,1,0.002570694087403599
Skin or soft-tissue infection,Head injury,1,0.002570694087403599
UTI or pyelonephritis,Anxiety disorder,1,0.002421307506053269
Unsp intestnl obst,Acute upper respiratory infection,1,0.008547008547008548
Unsp intestnl obst,End stage renal disease,1,0.008547008547008548
Unspecified asthma with (acute) exacerbation,Acute kidney failure,1,0.008928571428571428
Unspecified asthma with (acute) exacerbation,Acute pharyngitis,1,0.008928571428571428
Unspecified asthma with (acute) exacerbation,Hypokalemia,1,0.008928571428571428
Unspecified asthma with (acute) exacerbation,Laceration w/o fb of l idx fngr w/o damage to nail,1,0.008928571428571428
Unspecified asthma with (acute) exacerbation,UTI or pyelonephritis,1,0.008928571428571428
Unspecified asthma with (acute) exacerbation,Unspecified atrial fibrillation,1,0.008928571428571428
Unspecified atrial fibrillation,Anemia,1,0.00558659217877095
Unspecified atrial fibrillation,Anxiety disorder,1,0.00558659217877095
Unspecified atrial fibrillation,Epilepsy,1,0.00558659217877095
Unspecified atrial fibrillation,GI bleed,1,0.00558659217877095
Unspecified atrial fibrillation,Hypotension,1,0.00558659217877095
Unspecified atrial fibrillation,Laceration w/o fb of l idx fngr w/o damage to nail,1,0.00558659217877095
