threshold,tn,fp,fn,tp,predicted_home,predicted_admitted,acc,precision,recall,specificity,f1,balanced_acc,pr_auc
0.3,630,618,60,692,690,1310,,0.528244,0.920213,0.504808,0.671193,0.71251,0.767486
0.36,713,535,77,675,790,1210,,0.557851,0.897606,0.571314,0.688073,0.73446,0.767486
0.4,771,477,88,664,859,1141,,0.581946,0.882979,0.617788,0.701532,0.750384,0.767486
0.5,897,351,138,614,1035,965,,0.636269,0.816489,0.71875,0.715201,0.76762,0.767486
0.525,925,323,161,591,1086,914,,0.646608,0.785904,0.741186,0.709484,0.763545,0.767486
0.6,1013,235,214,538,1227,773,,0.69599,0.715426,0.811699,0.705574,0.763562,0.767486
0.7,1087,161,305,447,1392,608,,0.735197,0.594415,0.870994,0.657353,0.732704,0.767486
