true,pred,count,pct_of_true_class
Head injury,Skin or soft-tissue infection,13,1.2
Heart failure,Unspecified atrial fibrillation,13,7.3
Alcohol abuse with intoxication,Cardiovascular risk factor,13,1.8
Dehydration,Head injury,13,5.0
Cardiovascular risk factor,Acute kidney failure,13,1.0
UTI or pyelonephritis,Dehydration,13,1.5
Heart failure,Cardiovascular risk factor,12,6.8
Unspecified atrial fibrillation,Head injury,12,3.2
Major depressive disorder,Alcohol abuse with intoxication,12,2.2
Dehydration,Hypokalemia,12,4.6
UTI or pyelonephritis,Unsp intestnl obst,12,1.4
Unspecified asthma with (acute) exacerbation,Acute upper respiratory infection,12,5.3
Lower respiratory disease,Unspecified asthma with (acute) exacerbation,12,1.6
Dehydration,Limb injury or pain,12,4.6
Unspecified atrial fibrillation,Heart failure,11,3.0
Athscl heart disease of native coronary artery w/o ang pctrs,Diabetes mellitus,11,7.3
Multiple fractures of ribs,Cardiovascular risk factor,11,7.5
Lower respiratory disease,Acute kidney failure,11,1.5
Dehydration,Acute kidney failure,11,4.2
Hypothyroidism,UTI or pyelonephritis,11,8.5
GI bleed,Back or spine pain,11,1.8
Cardiovascular risk factor,Hypokalemia,11,0.8
Hypokalemia,Limb injury or pain,10,3.9
Acute pharyngitis,UTI or pyelonephritis,10,2.9
Hypotension,Lower respiratory disease,10,10.2
Laceration w/o fb of l idx fngr w/o damage to nail,Cardiovascular risk factor,10,3.3
Head injury,Diabetes mellitus,10,0.9
GI bleed,Limb injury or pain,10,1.6
Alcohol abuse with intoxication,Back or spine pain,9,1.3
Cardiovascular risk factor,Athscl heart disease of native coronary artery w/o ang pctrs,9,0.7
Unspecified asthma with (acute) exacerbation,Limb injury or pain,9,4.0
Diabetes mellitus,Unsp intestnl obst,9,1.1
Hypokalemia,UTI or pyelonephritis,9,3.5
Heart failure,Limb injury or pain,9,5.1
Epilepsy,Cardiovascular risk factor,9,4.6
End stage renal disease,Cardiovascular risk factor,9,9.9
Laceration w/o fb of l idx fngr w/o damage to nail,Skin or soft-tissue infection,9,3.0
Skin or soft-tissue infection,Head injury,9,1.0
GI bleed,Diabetes mellitus,9,1.5
Lower respiratory disease,Head injury,9,1.2
Major depressive disorder,Head injury,9,1.6
Acute upper respiratory infection,Back or spine pain,9,5.1
Cardiovascular risk factor,Major depressive disorder,9,0.7
Acute kidney failure,Cardiovascular risk factor,9,3.5
Diabetes mellitus,Hypokalemia,9,1.1
Alcohol abuse with intoxication,Lower respiratory disease,9,1.3
Acute pharyngitis,Skin or soft-tissue infection,9,2.6
Unspecified atrial fibrillation,Limb injury or pain,9,2.4
Anemia,Diabetes mellitus,9,3.8
Lower respiratory disease,Unspecified atrial fibrillation,9,1.2
Alcohol abuse with intoxication,Limb injury or pain,8,1.1
End stage renal disease,Acute kidney failure,8,8.8
Head injury,Multiple fractures of ribs,8,0.7
Anemia,Lower respiratory disease,8,3.3
Back or spine pain,Lower respiratory disease,8,0.5
Unspecified atrial fibrillation,UTI or pyelonephritis,8,2.2
Anemia,UTI or pyelonephritis,8,3.3
Limb injury or pain,Unspecified asthma with (acute) exacerbation,8,0.4
UTI or pyelonephritis,Hypothyroidism,8,0.9
Limb injury or pain,Dehydration,8,0.4
Acute kidney failure,Hypotension,8,3.1
Acute pharyngitis,Back or spine pain,8,2.3
Major depressive disorder,Diabetes mellitus,8,1.5
Major depressive disorder,Limb injury or pain,8,1.5
Alcohol abuse with intoxication,Anxiety disorder,7,1.0
Cardiovascular risk factor,Heart failure,7,0.5
Limb injury or pain,Multiple fractures of ribs,7,0.4
Acute kidney failure,Lower respiratory disease,7,2.7
Acute kidney failure,Unspecified atrial fibrillation,7,2.7
Limb injury or pain,Alcohol abuse with intoxication,7,0.4
Cardiovascular risk factor,Anxiety disorder,7,0.5
Epilepsy,Back or spine pain,7,3.6
Lower respiratory disease,Hypokalemia,7,0.9
Limb injury or pain,Unspecified atrial fibrillation,7,0.4
Unspecified atrial fibrillation,GI bleed,7,1.9
Cardiovascular risk factor,Anemia,7,0.5
