true,pred,count,pct_of_true_class
Laceration w/o fb of l idx fngr w/o damage to nail,UTI or pyelonephritis,1,0.3
Major depressive disorder,End stage renal disease,1,0.2
Skin or soft-tissue infection,Acute pharyngitis,1,0.1
Unspecified asthma with (acute) exacerbation,Acute pharyngitis,1,0.4
Athscl heart disease of native coronary artery w/o ang pctrs,Skin or soft-tissue infection,1,0.7
Alcohol abuse with intoxication,Unspecified asthma with (acute) exacerbation,1,0.1
Limb injury or pain,Epilepsy,1,0.1
Dehydration,End stage renal disease,1,0.4
Head injury,Anemia,1,0.1
Back or spine pain,Hypotension,1,0.1
Diabetes mellitus,Major depressive disorder,1,0.1
Acute pharyngitis,Anxiety disorder,1,0.3
GI bleed,Major depressive disorder,1,0.2
Laceration w/o fb of l idx fngr w/o damage to nail,Anxiety disorder,1,0.3
Acute pharyngitis,Laceration w/o fb of l idx fngr w/o damage to nail,1,0.3
Unspecified atrial fibrillation,Alcohol abuse with intoxication,1,0.3
Diabetes mellitus,Sepsis,1,0.1
Heart failure,Head injury,1,0.6
Acute upper respiratory infection,Hypothyroidism,1,0.6
Anxiety disorder,Hypokalemia,1,0.3
Anemia,Alcohol abuse with intoxication,1,0.4
Diabetes mellitus,Hypothyroidism,1,0.1
Hypotension,Alcohol abuse with intoxication,1,1.0
Diabetes mellitus,Unspecified asthma with (acute) exacerbation,1,0.1
Anxiety disorder,Unspecified asthma with (acute) exacerbation,1,0.3
Acute upper respiratory infection,Anxiety disorder,1,0.6
Cardiovascular risk factor,Hypotension,1,0.1
Acute kidney failure,Multiple fractures of ribs,1,0.4
