threshold,tn,fp,fn,tp,predicted_home,predicted_admitted,acc,precision,recall,specificity,f1,balanced_acc,pr_auc
0.3,0,1248,0,752,0,2000,,0.376,1.0,0.0,0.546512,0.5,0.728866
0.36,0,1248,0,752,0,2000,,0.376,1.0,0.0,0.546512,0.5,0.728866
0.4,0,1248,0,752,0,2000,,0.376,1.0,0.0,0.546512,0.5,0.728866
0.5,485,763,33,719,518,1482,,0.485155,0.956117,0.388622,0.643688,0.672369,0.728866
0.505,918,330,174,578,1092,908,,0.636564,0.768617,0.735577,0.696386,0.752097,0.728866
0.6,1248,0,752,0,2000,0,,0.0,0.0,1.0,0.0,0.5,0.728866
0.7,1248,0,752,0,2000,0,,0.0,0.0,1.0,0.0,0.5,0.728866
