epoch,train_loss,train_acc,train_f1,train_pr_auc,val_loss,val_acc,val_f1,val_pr_auc,val_roc_auc
0,0.699875,0.6365,0.212351,0.219059,0.686236,0.321333,0.380779,0.299695,0.611063
1,0.690744,0.322,0.376265,0.274787,0.676169,0.552,0.402135,0.314318,0.62231
2,0.67947,0.546167,0.396899,0.296671,0.67456,0.658667,0.393365,0.316589,0.621095
3,0.675626,0.6525,0.373498,0.310402,0.670966,0.638667,0.403084,0.322092,0.625107
4,0.672527,0.632917,0.37984,0.318454,0.666359,0.562,0.40327,0.327196,0.63265
5,0.668187,0.56375,0.405316,0.320398,0.665285,0.542,0.413322,0.331658,0.639109
6,0.66833,0.544083,0.410516,0.320988,0.663283,0.545333,0.411054,0.334567,0.642984
7,0.666141,0.55025,0.410486,0.328595,0.661054,0.568,0.405505,0.336299,0.644873
8,0.664564,0.575583,0.409507,0.328111,0.660478,0.602,0.40715,0.336448,0.646219
9,0.664001,0.604667,0.406852,0.329205,0.659207,0.610667,0.413655,0.337317,0.647959
10,0.662305,0.60825,0.405914,0.329487,0.657357,0.601333,0.423892,0.337513,0.650236
11,0.660555,0.597917,0.413801,0.335873,0.656653,0.585333,0.426199,0.337659,0.65262
12,0.661533,0.581,0.410274,0.33268,0.656428,0.575333,0.422484,0.336034,0.654042
13,0.661272,0.571,0.412999,0.331899,0.655621,0.583333,0.42076,0.336267,0.654928
14,0.660305,0.582667,0.410268,0.331185,0.655058,0.606,0.423415,0.336516,0.655256
15,0.660264,0.6015,0.408461,0.332019,0.654762,0.617333,0.42485,0.338117,0.656637
16,0.659407,0.622667,0.413015,0.333376,0.653799,0.611333,0.4222,0.342933,0.659104
17,0.659773,0.6155,0.408462,0.335384,0.652685,0.597333,0.424762,0.345568,0.661341
18,0.659015,0.599917,0.414012,0.334672,0.652189,0.582667,0.42674,0.34928,0.663046
19,0.658787,0.58725,0.418321,0.334979,0.651819,0.578667,0.423358,0.352423,0.663839
20,0.658267,0.586167,0.416588,0.33639,0.651337,0.590667,0.425094,0.355515,0.663624
21,0.657508,0.593083,0.416398,0.336763,0.651343,0.606667,0.42607,0.355367,0.663167
22,0.6576,0.607417,0.413982,0.337621,0.651675,0.614667,0.425447,0.35448,0.662776
23,0.658991,0.62025,0.411924,0.336744,0.651563,0.607333,0.423115,0.351733,0.662556
24,0.657186,0.609833,0.414018,0.337639,0.65148,0.594,0.420552,0.350845,0.662686
25,0.656631,0.60325,0.417899,0.338733,0.651718,0.585333,0.419776,0.350097,0.662415
26,0.657275,0.589083,0.417621,0.334573,0.651919,0.584667,0.420465,0.349424,0.66219
27,0.65642,0.5895,0.417317,0.339045,0.652028,0.586667,0.415094,0.347674,0.661278
28,0.656162,0.592917,0.417412,0.340291,0.652246,0.598,0.419634,0.347388,0.660655
