trial,clst,sep,returncode,best_epoch,best_eval_pr_auc,best_eval_acc,epochs_run,test_pr_auc,test_f1,test_precision,test_recall,test_specificity,test_balanced_acc,test_acc,threshold,tn,fp,fn,tp,log_path
1,0.01,0.001,0,6,0.754514,0.7615,28,0.753842,0.706239,0.648498,0.775266,0.746795,0.76103,0.7575,0.48,932,316,169,583,/Users/necatifurkancolak/MP---Self-Explainable-Graph-Neural-Networks-via-Prototype-Learning-for-Medical-Diagnosis/outputs/prototype_hpo_los/trial_01_clst_0.01_sep_0.001.log
2,0.005,0.0,0,5,0.752149,0.7495,27,0.74191,0.706456,0.651685,0.771277,0.751603,0.76144,0.759,0.525,938,310,172,580,/Users/necatifurkancolak/MP---Self-Explainable-Graph-Neural-Networks-via-Prototype-Learning-for-Medical-Diagnosis/outputs/prototype_hpo_los/trial_02_clst_0.005_sep_0.log
3,0.005,0.001,0,6,0.759624,0.759,28,0.753754,0.70405,0.662368,0.75133,0.769231,0.76028,0.7625,0.505,960,288,187,565,/Users/necatifurkancolak/MP---Self-Explainable-Graph-Neural-Networks-via-Prototype-Learning-for-Medical-Diagnosis/outputs/prototype_hpo_los/trial_03_clst_0.005_sep_0.001.log
4,0.01,0.0,0,6,0.757649,0.7625,28,0.757108,0.70721,0.669039,0.75,0.776442,0.763221,0.7665,0.485,969,279,188,564,/Users/necatifurkancolak/MP---Self-Explainable-Graph-Neural-Networks-via-Prototype-Learning-for-Medical-Diagnosis/outputs/prototype_hpo_los/trial_04_clst_0.01_sep_0.log
5,0.02,0.0,0,6,0.742256,0.7485,28,0.759625,0.70875,0.668632,0.753989,0.77484,0.764415,0.767,0.49,967,281,185,567,/Users/necatifurkancolak/MP---Self-Explainable-Graph-Neural-Networks-via-Prototype-Learning-for-Medical-Diagnosis/outputs/prototype_hpo_los/trial_05_clst_0.02_sep_0.log
6,0.02,0.001,0,6,0.751656,0.7415,28,0.759071,0.701892,0.68886,0.715426,0.805288,0.760357,0.7715,0.565,1005,243,214,538,/Users/necatifurkancolak/MP---Self-Explainable-Graph-Neural-Networks-via-Prototype-Learning-for-Medical-Diagnosis/outputs/prototype_hpo_los/trial_06_clst_0.02_sep_0.001.log
7,0.001,0.0,0,6,0.754826,0.757,28,0.745875,0.701097,0.681305,0.722074,0.796474,0.759274,0.7685,0.56,994,254,209,543,/Users/necatifurkancolak/MP---Self-Explainable-Graph-Neural-Networks-via-Prototype-Learning-for-Medical-Diagnosis/outputs/prototype_hpo_los/trial_07_clst_0.001_sep_0.log
8,0.001,0.0001,0,6,0.756078,0.7555,28,0.737852,0.70398,0.661215,0.75266,0.767628,0.760144,0.762,0.52,958,290,186,566,/Users/necatifurkancolak/MP---Self-Explainable-Graph-Neural-Networks-via-Prototype-Learning-for-Medical-Diagnosis/outputs/prototype_hpo_los/trial_08_clst_0.001_sep_0.0001.log
