threshold,tn,fp,fn,tp,predicted_home,predicted_admitted,acc,precision,recall,specificity,f1,balanced_acc,pr_auc
0.3,0,1248,0,752,0,2000,,0.376,1.0,0.0,0.546512,0.5,0.734843
0.36,0,1248,0,752,0,2000,,0.376,1.0,0.0,0.546512,0.5,0.734843
0.4,0,1248,0,752,0,2000,,0.376,1.0,0.0,0.546512,0.5,0.734843
0.5,847,401,119,633,966,1034,,0.612186,0.841755,0.678686,0.708847,0.760221,0.734843
0.525,978,270,197,555,1175,825,,0.672727,0.738032,0.783654,0.703868,0.760843,0.734843
0.6,1240,8,680,72,1920,80,,0.9,0.095745,0.99359,0.173077,0.544667,0.734843
0.7,1248,0,752,0,2000,0,,0.0,0.0,1.0,0.0,0.5,0.734843
