threshold,tn,fp,fn,tp,predicted_home,predicted_admitted,acc,precision,recall,specificity,f1,balanced_acc,pr_auc
0.3,764,484,91,661,855,1145,,0.577293,0.878989,0.612179,0.69689,0.745584,0.747938
0.36,837,411,115,637,952,1048,,0.607824,0.847074,0.670673,0.707778,0.758874,0.747938
0.4,877,371,135,617,1012,988,,0.624494,0.820479,0.702724,0.709195,0.761602,0.747938
0.5,954,294,175,577,1129,871,,0.662457,0.767287,0.764423,0.711029,0.765855,0.747938
0.52,965,283,191,561,1156,844,,0.664692,0.746011,0.773237,0.703008,0.759624,0.747938
0.6,1021,227,246,506,1267,733,,0.690314,0.672872,0.818109,0.681481,0.745491,0.747938
0.7,1087,161,319,433,1406,594,,0.728956,0.575798,0.870994,0.643388,0.723396,0.747938
