threshold,tn,fp,fn,tp,predicted_home,predicted_admitted,acc,precision,recall,specificity,f1,balanced_acc,pr_auc
0.295,827,421,189,563,1016,984,,0.572154,0.74867,0.66266,0.648618,0.705665,0.650613
0.3,828,420,189,563,1017,983,,0.572737,0.74867,0.663462,0.648991,0.706066,0.650613
0.36,853,395,201,551,1054,946,,0.582452,0.732713,0.683494,0.648999,0.708103,0.650613
0.4,867,381,208,544,1075,925,,0.588108,0.723404,0.694712,0.648778,0.709058,0.650613
0.5,897,351,237,515,1134,866,,0.594688,0.68484,0.71875,0.636588,0.701795,0.650613
0.6,917,331,253,499,1170,830,,0.601205,0.663564,0.734776,0.630847,0.69917,0.650613
0.7,945,303,278,474,1223,777,,0.610039,0.630319,0.757212,0.620013,0.693765,0.650613
