threshold,tn,fp,fn,tp,predicted_home,predicted_admitted,acc,precision,recall,specificity,f1,balanced_acc,pr_auc
0.3,664,584,65,687,729,1271,,0.540519,0.913564,0.532051,0.679189,0.722808,0.751206
0.36,775,473,93,659,868,1132,,0.582155,0.87633,0.620994,0.699575,0.748662,0.751206
0.4,827,421,110,642,937,1063,,0.603951,0.853723,0.66266,0.707438,0.758192,0.751206
0.5,943,305,178,574,1121,879,,0.653015,0.763298,0.755609,0.703863,0.759453,0.751206
0.525,976,272,194,558,1170,830,,0.672289,0.742021,0.782051,0.705436,0.762036,0.751206
0.6,1047,201,249,503,1296,704,,0.714489,0.668883,0.838942,0.690934,0.753913,0.751206
0.7,1109,139,323,429,1432,568,,0.755282,0.570479,0.888622,0.65,0.72955,0.751206
