threshold,tn,fp,fn,tp,predicted_home,predicted_admitted,acc,precision,recall,specificity,f1,balanced_acc,pr_auc
0.3,690,558,65,687,755,1245,,0.551807,0.913564,0.552885,0.688032,0.733224,0.748368
0.36,782,466,103,649,885,1115,,0.582063,0.863032,0.626603,0.695233,0.744817,0.748368
0.4,838,410,120,632,958,1042,,0.606526,0.840426,0.671474,0.704571,0.75595,0.748368
0.48,939,309,173,579,1112,888,,0.652027,0.769947,0.752404,0.706098,0.761175,0.748368
0.5,959,289,180,572,1139,861,,0.664344,0.760638,0.768429,0.709237,0.764534,0.748368
0.6,1042,206,244,508,1286,714,,0.711485,0.675532,0.834936,0.693042,0.755234,0.748368
0.7,1110,138,320,432,1430,570,,0.757895,0.574468,0.889423,0.653555,0.731946,0.748368
