epoch,train_loss,train_acc,eval_loss,eval_acc,eval_f1,eval_pr_auc,eval_recall,eval_precision
0,1.825185,0.53925,0.688427,0.6545,0.655362,0.695593,0.87367,0.524342
1,1.404774,0.750125,0.682812,0.7575,0.685269,0.714831,0.702128,0.669202
2,1.143724,0.779687,0.67274,0.7595,0.67434,0.709405,0.662234,0.686897
3,0.947468,0.788,0.659331,0.764,0.654971,0.724741,0.595745,0.727273
4,0.789001,0.793687,0.64095,0.7685,0.656783,0.706982,0.589096,0.742044
5,0.650806,0.799438,0.617217,0.766,0.644377,0.718434,0.56383,0.751773
6,0.516744,0.802312,0.601476,0.766,0.640553,0.715095,0.554521,0.758182
7,0.346726,0.806187,0.557013,0.768,0.680441,0.703504,0.656915,0.705714
8,0.267745,0.8115,0.555059,0.7595,0.675657,0.71261,0.666223,0.685363
9,0.21834,0.82,0.5355,0.762,0.689295,0.720662,0.702128,0.676923
10,0.175533,0.824875,0.537788,0.7595,0.689076,0.718337,0.708777,0.67044
11,0.145039,0.829812,0.542056,0.7655,0.69002,0.731984,0.694149,0.68594
12,0.111249,0.835438,0.555252,0.764,0.68407,0.730245,0.679521,0.688679
13,0.075401,0.843875,0.568268,0.7525,0.681262,0.716932,0.703457,0.660424
14,0.051055,0.848562,0.566587,0.7575,0.690096,0.713312,0.718085,0.664207
15,0.01607,0.857125,0.57267,0.7565,0.686009,0.720391,0.707447,0.665832
16,-0.00508,0.863062,0.597528,0.76,0.673469,0.718028,0.658245,0.689415
17,-0.030998,0.866875,0.567579,0.756,0.685972,0.712298,0.708777,0.664589
18,-0.057828,0.8705,0.592788,0.7505,0.673643,0.721139,0.68484,0.662806
19,-0.085446,0.88025,0.577506,0.744,0.686275,0.697301,0.744681,0.636364
20,-0.110847,0.884375,0.58434,0.751,0.677043,0.72457,0.694149,0.660759
21,-0.130615,0.887625,0.606423,0.7465,0.672692,0.71014,0.692819,0.653701
22,-0.156076,0.893062,0.596452,0.742,0.669654,0.712872,0.695479,0.645679
23,-0.171161,0.895,0.597868,0.745,0.67803,0.69044,0.714096,0.645433
24,-0.184468,0.89725,0.618289,0.75,0.676166,0.700516,0.694149,0.659091
25,-0.21085,0.902438,0.621182,0.744,0.679599,0.715324,0.722074,0.641844
26,-0.226717,0.907125,0.63148,0.738,0.668774,0.697433,0.703457,0.637349
27,-0.251625,0.909062,0.618072,0.748,0.673575,0.715608,0.691489,0.656566
28,-0.271834,0.915188,0.643292,0.7425,0.667527,0.704013,0.6875,0.648683
29,-0.288492,0.918063,0.655154,0.7435,0.677155,0.69974,0.715426,0.642772
30,-0.304334,0.91825,0.637497,0.7515,0.67367,0.714083,0.682181,0.66537
31,-0.31572,0.921125,0.67101,0.7435,0.664487,0.706762,0.675532,0.653797
32,-0.333376,0.923188,0.668677,0.7455,0.677235,0.711771,0.710106,0.647273
