threshold,tn,fp,fn,tp,predicted_home,predicted_admitted,acc,precision,recall,specificity,f1,balanced_acc,pr_auc
0.3,850,398,121,631,971,1029,,0.613217,0.839096,0.68109,0.708591,0.760093,0.744646
0.36,911,337,155,597,1066,934,,0.639186,0.793883,0.729968,0.708185,0.761925,0.744646
0.4,950,298,171,581,1121,879,,0.660978,0.772606,0.761218,0.712446,0.766912,0.744646
0.5,1017,231,212,540,1229,771,,0.700389,0.718085,0.814904,0.709127,0.766494,0.744646
0.535,1038,210,223,529,1261,739,,0.715832,0.703457,0.831731,0.709591,0.767594,0.744646
0.6,1065,183,256,496,1321,679,,0.730486,0.659574,0.853365,0.693222,0.75647,0.744646
0.7,1120,128,322,430,1442,558,,0.770609,0.571809,0.897436,0.656489,0.734622,0.744646
