explainer,feature,mean_abs_importance,mean_signed_importance,max_abs_importance,count
GNNExplainer,heart_rate_std,0.15400898704926172,0.15400898704926172,0.1786206215620041,30
GNNExplainer,age,0.15092289100090664,0.15092289100090664,0.1695377230644226,30
GNNExplainer,heart_rate_max,0.15074300318956374,0.15074300318956374,0.16494813561439514,30
GNNExplainer,systolic_bp_mean,0.15026867687702178,0.15026867687702178,0.16935846209526062,30
GNNExplainer,comorbidity_score,0.15002214908599854,0.15002214908599854,0.1705017238855362,30
GNNExplainer,lactate_mean,0.14999811798334123,0.14999811798334123,0.16765761375427246,30
GNNExplainer,spo2_mean,0.14901903222004573,0.14901903222004573,0.17003695666790009,30
GNNExplainer,sofa_score,0.14891497492790223,0.14891497492790223,0.17016461491584778,30
GNNExplainer,apache_score,0.14861210733652114,0.14861210733652114,0.18046268820762634,30
GNNExplainer,systolic_bp_std,0.14859101126591365,0.14859101126591365,0.16663937270641327,30
GNNExplainer,gender,0.14854062447945277,0.14854062447945277,0.16814090311527252,30
GNNExplainer,vasopressor_used,0.1485288177927335,0.1485288177927335,0.1717977374792099,30
GNNExplainer,ventilation_required,0.14844349374373753,0.14844349374373753,0.1768530160188675,30
GNNExplainer,temperature_mean,0.14821145832538604,0.14821145832538604,0.17188191413879395,30
GNNExplainer,admission_type,0.14788848807414373,0.14788848807414373,0.16958275437355042,30
GNNExplainer,length_of_stay_days,0.14782034556070964,0.14782034556070964,0.16641412675380707,30
GNNExplainer,glucose_mean,0.14724927296241125,0.14724927296241125,0.16013705730438232,30
GNNExplainer,heart_rate_mean,0.1467850387096405,0.1467850387096405,0.1701057404279709,30
GNNExplainer,respiratory_rate_mean,0.14666073496143023,0.14666073496143023,0.17117971181869507,30
GNNExplainer,urine_output_total,0.14662929028272628,0.14662929028272628,0.17015112936496735,30
GNNExplainer,sepsis_flag,0.14637983292341233,0.14637983292341233,0.1588725447654724,30
GNNExplainer,heart_rate_min,0.1456551323334376,0.1456551323334376,0.16930703818798065,30
GradExplainer,age,0.003536037329467945,0.0016263398545561358,0.009128614328801632,30
GradExplainer,sofa_score,0.0035115655215728716,0.0017890879898914136,0.010411799885332584,30
GradExplainer,apache_score,0.0034591181504462537,0.001388941098897097,0.014497223310172558,30
GradExplainer,comorbidity_score,0.0030839505149439597,0.0011844421979427958,0.01157438661903143,30
GradExplainer,ventilation_required,0.003078507993874761,0.001031485763572467,0.013024047948420048,30
GradExplainer,vasopressor_used,0.0021206484433302347,0.0006414002724341117,0.010124252177774906,30
GradExplainer,sepsis_flag,0.002101220471134487,0.0007294789279209605,0.00813793670386076,30
GradExplainer,systolic_bp_mean,0.0008915968979029761,-0.00045806679966820717,0.003182798158377409,30
GradExplainer,heart_rate_max,0.0007182995829073964,-9.75677674129353e-05,0.0038095538038760424,30
GradExplainer,lactate_mean,0.0006892024918973524,-2.5540258138789796e-05,0.006328129209578037,30
GradExplainer,gender,0.0006587702436566663,0.00018773704456786315,0.0055998386815190315,30
GradExplainer,respiratory_rate_mean,0.0006251764233941988,-0.00030734695646970065,0.0019551501609385014,30
GradExplainer,length_of_stay_days,0.0005916396233260457,9.731530684196817e-05,0.0030851929914206266,30
GradExplainer,systolic_bp_std,0.0005402926063046228,0.00039274774017030725,0.002765617799013853,30
GradExplainer,heart_rate_min,0.0005105530332609002,-0.00015281682293183014,0.002568720141425729,30
GradExplainer,heart_rate_mean,0.0005074190132897153,0.00010324680279154564,0.0027251855935901403,30
GradExplainer,heart_rate_std,0.000424542312672808,-0.00018347520108363824,0.0014493444468826056,30
GradExplainer,glucose_mean,0.0003900062346777607,-4.265523984940956e-05,0.001913607819005847,30
GradExplainer,admission_type,0.00035699935439576316,2.4438437321805396e-06,0.0030688985716551542,30
GradExplainer,temperature_mean,0.000354629534134195,0.00012469256101515686,0.0016595226479694247,30
GradExplainer,spo2_mean,0.00034576674852360156,0.00016545818631736136,0.0011050133034586906,30
GradExplainer,urine_output_total,0.00030084226661225935,-1.997791199149409e-05,0.0017186851473525167,30
IntegratedGradExplainer,apache_score,0.00334793347477292,-8.397323933119575e-05,0.01806718111038208,30
IntegratedGradExplainer,sofa_score,0.0027643557941094818,0.000403387635742547,0.007644008845090866,30
IntegratedGradExplainer,ventilation_required,0.0025611183683698375,-0.0002593514354278644,0.005465192720293999,30
IntegratedGradExplainer,comorbidity_score,0.0024600876723222124,0.00027577434326910103,0.010298053734004498,30
IntegratedGradExplainer,age,0.002206364072844735,7.981274138728623e-05,0.006285032257437706,30
IntegratedGradExplainer,vasopressor_used,0.001851871185742008,-3.4708325983956454e-06,0.006422438193112612,30
IntegratedGradExplainer,sepsis_flag,0.001736942336234885,-1.1634542412745455e-05,0.007500970270484686,30
IntegratedGradExplainer,systolic_bp_mean,0.0006757328162810458,-0.00011562955415153434,0.0023248724173754454,30
IntegratedGradExplainer,heart_rate_max,0.0006024445569247898,-4.512011518803168e-05,0.0025887980591505766,30
IntegratedGradExplainer,lactate_mean,0.000578385053859165,-0.00010439932734698231,0.003090838436037302,30
IntegratedGradExplainer,gender,0.0005232962814867884,-4.7505720552483884e-05,0.0022808662615716457,30
IntegratedGradExplainer,heart_rate_min,0.0004967963164138685,-2.2878507418984858e-05,0.0016681415727362037,30
IntegratedGradExplainer,heart_rate_mean,0.00045304853780786893,0.00019467828418176698,0.0017052536131814122,30
IntegratedGradExplainer,respiratory_rate_mean,0.0004219403241828938,-6.307564738866252e-05,0.0011157909175381064,30
IntegratedGradExplainer,length_of_stay_days,0.000384104535548128,9.620157778347979e-05,0.0012020961148664355,30
IntegratedGradExplainer,systolic_bp_std,0.000380345504709112,0.00011766830078461984,0.003032601671293378,30
IntegratedGradExplainer,heart_rate_std,0.0003169631392476428,5.630218660902149e-05,0.0011142413131892681,30
IntegratedGradExplainer,spo2_mean,0.0002945778393457961,3.462477996360273e-05,0.0013930248096585274,30
IntegratedGradExplainer,temperature_mean,0.00028205085847048393,-4.603049223608953e-05,0.0010987846180796623,30
IntegratedGradExplainer,urine_output_total,0.0002819066776434435,-9.953097992365656e-05,0.0014818226918578148,30
IntegratedGradExplainer,glucose_mean,0.00027212403825842556,-7.0871470938982386e-06,0.0008432742324657738,30
IntegratedGradExplainer,admission_type,0.0002620237102968067,7.604774236232477e-06,0.0009128178935497999,30
