epoch,train_loss,train_acc,eval_loss,eval_acc,eval_f1,eval_pr_auc,eval_recall,eval_precision,eval_macro_f1,eval_balanced_acc,eval_top3_acc,eval_top5_acc
0,4.375476,0.196319,2.628486,0.296321,,,,,0.239663,0.291958,0.540011,0.679377
1,3.321264,0.33387,2.031381,0.459855,,,,,0.436193,0.490304,0.667293,0.76195
2,2.733896,0.461942,1.856741,0.525376,,,,,0.48474,0.544551,0.72167,0.801826
3,2.491336,0.514185,1.827733,0.538937,,,,,0.496723,0.564204,0.725027,0.808673
4,2.365933,0.534669,1.789673,0.545784,,,,,0.50094,0.572899,0.744629,0.819146
5,2.283467,0.550321,1.750866,0.54471,,,,,0.501503,0.577209,0.74087,0.815655
6,2.224741,0.561109,1.762515,0.550618,,,,,0.505053,0.581137,0.744629,0.819549
7,2.182836,0.570168,1.744819,0.555988,,,,,0.513414,0.578982,0.74812,0.822234
8,2.143257,0.576358,1.719727,0.551423,,,,,0.506975,0.586807,0.750403,0.830961
9,2.108471,0.5827,1.704703,0.556928,,,,,0.508441,0.585084,0.75188,0.830156
10,2.081326,0.581643,1.723302,0.559345,,,,,0.513524,0.586675,0.758861,0.835124
11,2.010324,0.589562,1.713023,0.557599,,,,,0.5125,0.590305,0.753088,0.830693
12,1.948381,0.59191,1.726072,0.56297,,,,,0.509145,0.583119,0.762755,0.844388
13,1.88608,0.592749,1.806562,0.572368,,,,,0.52111,0.570341,0.764501,0.843985
14,1.819031,0.597916,1.742874,0.564715,,,,,0.515441,0.581219,0.757922,0.83311
15,1.766478,0.60045,1.73637,0.569549,,,,,0.515735,0.572124,0.763963,0.844656
16,1.710934,0.602329,1.788408,0.5529,,,,,0.500731,0.574067,0.754699,0.835392
17,1.651196,0.604107,1.785966,0.559479,,,,,0.509832,0.581119,0.758459,0.834452
18,1.603651,0.605013,1.767044,0.56109,,,,,0.504054,0.578409,0.759667,0.837137
19,1.551702,0.604879,1.731393,0.558808,,,,,0.507704,0.589306,0.763292,0.840091
20,1.50157,0.608939,1.784561,0.549812,,,,,0.499568,0.579307,0.751745,0.831901
21,1.442786,0.611019,1.788665,0.559748,,,,,0.507238,0.575613,0.753894,0.832975
22,1.414931,0.611992,1.800989,0.553169,,,,,0.505022,0.576993,0.754565,0.835392
23,1.369699,0.610096,1.847681,0.564044,,,,,0.509188,0.570356,0.759264,0.840628
24,1.333813,0.612042,1.861194,0.551423,,,,,0.497011,0.575088,0.75,0.825456
