epoch,train_loss,train_acc,eval_loss,eval_acc,eval_f1,eval_pr_auc,eval_recall,eval_precision
0,1.164809,0.381375,0.689686,0.429,0.564122,0.713044,0.982713,0.39561
1,1.00549,0.5855,0.68519,0.567,0.619842,0.724159,0.93883,0.462647
2,0.908037,0.710625,0.674845,0.6855,0.665603,0.71703,0.832447,0.554473
3,0.828678,0.750375,0.653941,0.714,0.677928,0.712514,0.800532,0.587891
4,0.743288,0.7775,0.603781,0.74,0.685611,0.711398,0.753989,0.628603
5,0.570805,0.7835,0.522303,0.748,0.694915,0.720141,0.763298,0.637778
6,0.479115,0.783875,0.510211,0.7455,0.684047,0.748826,0.732713,0.641444
7,0.436041,0.805063,0.537677,0.759,0.687419,0.731613,0.704787,0.670886
8,0.40004,0.817813,0.550004,0.7485,0.66489,0.726043,0.663564,0.666222
9,0.380649,0.831625,0.54844,0.7545,0.678033,0.720854,0.6875,0.668823
10,0.343454,0.851812,0.584089,0.752,0.667114,0.708208,0.660904,0.673442
11,0.318488,0.86525,0.592346,0.7575,0.68486,0.704202,0.700798,0.669632
12,0.292121,0.876687,0.617973,0.7425,0.670927,0.691095,0.698138,0.645756
13,0.277568,0.882188,0.671742,0.7375,0.669187,0.68054,0.706117,0.635928
14,0.255456,0.892125,0.684562,0.763,0.670376,0.705378,0.640957,0.702624
15,0.227901,0.907312,0.706218,0.7305,0.65515,0.675489,0.680851,0.631319
16,0.211275,0.913563,0.737761,0.716,0.661502,0.675917,0.738032,0.599352
17,0.197749,0.9205,0.78064,0.752,0.665768,0.690611,0.656915,0.674863
18,0.182734,0.924687,0.847724,0.7385,0.64349,0.665444,0.62766,0.66014
19,0.146291,0.945125,0.872469,0.73,0.634641,0.687291,0.62367,0.646006
20,0.124202,0.953375,0.939495,0.731,0.640854,0.675976,0.638298,0.643432
21,0.13053,0.950812,0.936868,0.719,0.64787,0.659149,0.6875,0.612559
22,0.121777,0.954875,0.971223,0.7335,0.638153,0.664591,0.625,0.651872
23,0.113002,0.957125,1.072668,0.722,0.621769,0.670843,0.607713,0.63649
24,0.113494,0.958375,1.051589,0.7085,0.654825,0.662979,0.735372,0.590181
25,0.106022,0.960313,1.051861,0.711,0.646699,0.657996,0.703457,0.598416
26,0.097677,0.962938,1.108776,0.737,0.648396,0.679982,0.644947,0.651882
27,0.073498,0.973375,1.146354,0.7225,0.640777,0.664799,0.658245,0.624212
