dataset,explainer,n_total,n_class1,n_errors,F1_all,F1_class1,Fid+,Fid-_all,Fid-_class1,Sparsity,AUROC
shapeggen_cycle_ba_n600_nodes30,GradExplainer,60,30,0,0.2389,0.4778,0.1167,0.15,0.3,0.895,0.5165
shapeggen_cycle_ba_n600_nodes30,IntegratedGradExplainer,60,30,0,0.0111,0.0222,0.0,0.5167,1.0,0.895,0.2637
shapeggen_cycle_ba_n600_nodes30,GNNExplainer,60,30,0,0.0139,0.0278,0.0,0.4667,0.9333,0.895,0.4913
