threshold,tn,fp,fn,tp,predicted_home,predicted_admitted,acc,precision,recall,specificity,f1,balanced_acc,pr_auc
0.3,0,30,0,30,0,60,,0.5,1.0,0.0,0.666667,0.5,1.0
0.36,0,30,0,30,0,60,,0.5,1.0,0.0,0.666667,0.5,1.0
0.4,0,30,0,30,0,60,,0.5,1.0,0.0,0.666667,0.5,1.0
0.5,0,30,0,30,0,60,,0.5,1.0,0.0,0.666667,0.5,1.0
0.51,30,0,0,30,30,30,,1.0,1.0,1.0,1.0,1.0,1.0
0.6,30,0,30,0,60,0,,0.0,0.0,1.0,0.0,0.5,1.0
0.7,30,0,30,0,60,0,,0.0,0.0,1.0,0.0,0.5,1.0
