method,topology,seed_count,parameter_count,accuracy_mean,accuracy_sd,balanced_acc_mean,balanced_acc_sd,macro_f1_mean,macro_f1_sd,micro_f1_mean,micro_f1_sd,top3_acc_mean,top3_acc_sd,top5_acc_mean,top5_acc_sd
protgnn,star,3,99946,0.588251,0.000134,0.566338333333,0.00642225079963,0.530948333333,0.00454587838963,0.588251,0.000134,0.774007333333,0.0051438824183,0.84603,0.00248371254375
protgnn,cooccur,3,99946,0.588564,0.00266345846598,0.564668,0.00543337270947,0.529814333333,0.00598753457888,0.588564,0.00266345846598,0.779416666667,0.00335389241529,0.852467666667,0.00493001788367
gsat,star,3,212258,0.600322,0.00733255323881,0.576054,0.00750782232075,0.539090333333,0.00928167562099,0.600322,0.00733255323881,0.804855,0.00764852227558,0.878532,0.00621226295322
gsat,cooccur,3,212258,0.596968666667,0.00389643585002,0.571874666667,0.0129109183381,0.533637,0.00588057913815,0.596968666667,0.00389643585002,0.800384333333,0.00666485726279,0.874552666667,0.00433647787188
graphcare,star,3,158120,0.563259666667,0.00124621881439,0.489677333333,0.0024132965697,0.479028333333,0.0038155204538,0.563259666667,0.00124621881439,0.753576333333,0.00278885717335,0.831143,0.00328804850937
graphcare,cooccur,3,158120,0.560980333333,0.00785975478837,0.491106333333,0.0108884647831,0.479196333333,0.00865259061399,0.560980333333,0.00785975478837,0.753978666667,0.00337530581331,0.828907333333,0.000851591647055
