true,predicted,count,share_of_true_class
Lower respiratory disease,Unsp intestnl obst,10,0.02710027100271003
Lower respiratory disease,Unspecified atrial fibrillation,10,0.02710027100271003
UTI or pyelonephritis,Hypothyroidism,10,0.024213075060532687
UTI or pyelonephritis,Skin or soft-tissue infection,10,0.024213075060532687
Alcohol abuse with intoxication,Anxiety disorder,9,0.02608695652173913
Cardiovascular risk factor,Anemia,9,0.012016021361815754
Dehydration,Cardiovascular risk factor,9,0.06976744186046512
Diabetes mellitus,Heart failure,9,0.021176470588235293
Diabetes mellitus,Hypokalemia,9,0.021176470588235293
GI bleed,Acute kidney failure,9,0.029801324503311258
GI bleed,Unsp intestnl obst,9,0.029801324503311258
Head injury,Alcohol abuse with intoxication,9,0.017928286852589643
Head injury,Cardiovascular risk factor,9,0.017928286852589643
Head injury,Dehydration,9,0.017928286852589643
Laceration w/o fb of l idx fngr w/o damage to nail,Limb injury or pain,9,0.07377049180327869
Lower respiratory disease,Hypokalemia,9,0.024390243902439025
Unspecified asthma with (acute) exacerbation,Lower respiratory disease,9,0.08035714285714286
Alcohol abuse with intoxication,Head injury,8,0.02318840579710145
Dehydration,Acute kidney failure,8,0.06201550387596899
Diabetes mellitus,End stage renal disease,8,0.018823529411764704
Diabetes mellitus,Hypotension,8,0.018823529411764704
GI bleed,Hypotension,8,0.026490066225165563
Limb injury or pain,Acute kidney failure,8,0.008859357696566999
Limb injury or pain,Heart failure,8,0.008859357696566999
Limb injury or pain,Hypothyroidism,8,0.008859357696566999
Limb injury or pain,Lower respiratory disease,8,0.008859357696566999
Lower respiratory disease,Acute kidney failure,8,0.02168021680216802
Skin or soft-tissue infection,Sepsis,8,0.02056555269922879
UTI or pyelonephritis,Unspecified atrial fibrillation,8,0.01937046004842615
Unspecified atrial fibrillation,Lower respiratory disease,8,0.0446927374301676
Acute kidney failure,Hypokalemia,7,0.0546875
Alcohol abuse with intoxication,Dehydration,7,0.020289855072463767
Dehydration,Hypothyroidism,7,0.05426356589147287
Dehydration,UTI or pyelonephritis,7,0.05426356589147287
Diabetes mellitus,Anemia,7,0.01647058823529412
End stage renal disease,Acute kidney failure,7,0.1590909090909091
Head injury,Skin or soft-tissue infection,7,0.013944223107569721
Hypokalemia,Dehydration,7,0.05511811023622047
Hypokalemia,End stage renal disease,7,0.05511811023622047
Hypotension,Dehydration,7,0.14893617021276595
Laceration w/o fb of l idx fngr w/o damage to nail,Head injury,7,0.05737704918032787
Lower respiratory disease,Diabetes mellitus,7,0.018970189701897018
Lower respiratory disease,Multiple fractures of ribs,7,0.018970189701897018
UTI or pyelonephritis,Anemia,7,0.01694915254237288
UTI or pyelonephritis,Unsp intestnl obst,7,0.01694915254237288
Unsp intestnl obst,UTI or pyelonephritis,7,0.05982905982905983
Unspecified atrial fibrillation,Diabetes mellitus,7,0.03910614525139665
Acute kidney failure,Heart failure,6,0.046875
Acute kidney failure,Sepsis,6,0.046875
Back or spine pain,Dehydration,6,0.007017543859649123
Back or spine pain,Hypokalemia,6,0.007017543859649123
Cardiovascular risk factor,GI bleed,6,0.00801068090787717
Cardiovascular risk factor,Unspecified asthma with (acute) exacerbation,6,0.00801068090787717
Dehydration,Anxiety disorder,6,0.046511627906976744
Dehydration,Diabetes mellitus,6,0.046511627906976744
Dehydration,Sepsis,6,0.046511627906976744
Diabetes mellitus,Acute upper respiratory infection,6,0.01411764705882353
Diabetes mellitus,Anxiety disorder,6,0.01411764705882353
Diabetes mellitus,Lower respiratory disease,6,0.01411764705882353
Diabetes mellitus,Unsp intestnl obst,6,0.01411764705882353
GI bleed,UTI or pyelonephritis,6,0.019867549668874173
Hypotension,Sepsis,6,0.1276595744680851
Lower respiratory disease,End stage renal disease,6,0.016260162601626018
Skin or soft-tissue infection,Acute upper respiratory infection,6,0.015424164524421594
Skin or soft-tissue infection,Back or spine pain,6,0.015424164524421594
Skin or soft-tissue infection,Cardiovascular risk factor,6,0.015424164524421594
Skin or soft-tissue infection,Hypothyroidism,6,0.015424164524421594
UTI or pyelonephritis,Anxiety disorder,6,0.014527845036319613
UTI or pyelonephritis,Back or spine pain,6,0.014527845036319613
UTI or pyelonephritis,GI bleed,6,0.014527845036319613
UTI or pyelonephritis,Hypokalemia,6,0.014527845036319613
Unsp intestnl obst,Diabetes mellitus,6,0.05128205128205128
Acute kidney failure,UTI or pyelonephritis,5,0.0390625
Acute upper respiratory infection,Acute pharyngitis,5,0.06097560975609756
Acute upper respiratory infection,Diabetes mellitus,5,0.06097560975609756
Acute upper respiratory infection,Lower respiratory disease,5,0.06097560975609756
Alcohol abuse with intoxication,Diabetes mellitus,5,0.014492753623188406
Anemia,Acute kidney failure,5,0.043859649122807015
Anemia,Dehydration,5,0.043859649122807015
Anemia,GI bleed,5,0.043859649122807015
Anxiety disorder,Unspecified asthma with (acute) exacerbation,5,0.036231884057971016
Back or spine pain,Acute kidney failure,5,0.005847953216374269
Back or spine pain,Anemia,5,0.005847953216374269
Back or spine pain,Unspecified asthma with (acute) exacerbation,5,0.005847953216374269
Back or spine pain,Unspecified atrial fibrillation,5,0.005847953216374269
Cardiovascular risk factor,Epilepsy,5,0.006675567423230975
Diabetes mellitus,Dehydration,5,0.011764705882352941
Diabetes mellitus,Non-ST elevation (NSTEMI) myocardial infarction,5,0.011764705882352941
Diabetes mellitus,Unspecified asthma with (acute) exacerbation,5,0.011764705882352941
Diabetes mellitus,Unspecified atrial fibrillation,5,0.011764705882352941
GI bleed,Hypokalemia,5,0.016556291390728478
GI bleed,Unspecified atrial fibrillation,5,0.016556291390728478
Heart failure,Cardiovascular risk factor,5,0.058823529411764705
Heart failure,Lower respiratory disease,5,0.058823529411764705
Hypokalemia,Cardiovascular risk factor,5,0.03937007874015748
Hypokalemia,Multiple fractures of ribs,5,0.03937007874015748
Limb injury or pain,Alcohol abuse with intoxication,5,0.005537098560354375
Limb injury or pain,Hypokalemia,5,0.005537098560354375
Lower respiratory disease,Anemia,5,0.013550135501355014
Lower respiratory disease,Dehydration,5,0.013550135501355014
Multiple fractures of ribs,Back or spine pain,5,0.07142857142857142
Non-ST elevation (NSTEMI) myocardial infarction,Cardiovascular risk factor,5,0.06944444444444445
Non-ST elevation (NSTEMI) myocardial infarction,Heart failure,5,0.06944444444444445
Skin or soft-tissue infection,Anemia,5,0.012853470437017995
UTI or pyelonephritis,Head injury,5,0.012106537530266344
Unsp intestnl obst,Unspecified atrial fibrillation,5,0.042735042735042736
Unspecified atrial fibrillation,Sepsis,5,0.027932960893854747
Acute kidney failure,Anemia,4,0.03125
Acute kidney failure,Dehydration,4,0.03125
Acute kidney failure,Hypotension,4,0.03125
Acute pharyngitis,Limb injury or pain,4,0.023809523809523808
Alcohol abuse with intoxication,Multiple fractures of ribs,4,0.011594202898550725
Alcohol abuse with intoxication,Unspecified asthma with (acute) exacerbation,4,0.011594202898550725
Anxiety disorder,Dehydration,4,0.028985507246376812
Anxiety disorder,Hypothyroidism,4,0.028985507246376812
Back or spine pain,Lower respiratory disease,4,0.004678362573099415
Dehydration,Hypokalemia,4,0.031007751937984496
Diabetes mellitus,Hypothyroidism,4,0.009411764705882352
Epilepsy,Anxiety disorder,4,0.041237113402061855
GI bleed,Lower respiratory disease,4,0.013245033112582781
GI bleed,Sepsis,4,0.013245033112582781
Head injury,Epilepsy,4,0.00796812749003984
Head injury,Hypothyroidism,4,0.00796812749003984
Heart failure,Unspecified atrial fibrillation,4,0.047058823529411764
Hypokalemia,Anemia,4,0.031496062992125984
Hypokalemia,Diabetes mellitus,4,0.031496062992125984
Hypokalemia,Heart failure,4,0.031496062992125984
Hypothyroidism,Anxiety disorder,4,0.06153846153846154
Hypothyroidism,Diabetes mellitus,4,0.06153846153846154
Limb injury or pain,Epilepsy,4,0.004429678848283499
Limb injury or pain,Unspecified atrial fibrillation,4,0.004429678848283499
Lower respiratory disease,Epilepsy,4,0.01084010840108401
Lower respiratory disease,Hypotension,4,0.01084010840108401
Lower respiratory disease,Hypothyroidism,4,0.01084010840108401
Major depressive disorder,Alcohol abuse with intoxication,4,0.0149812734082397
Sepsis,Lower respiratory disease,4,0.0975609756097561
Skin or soft-tissue infection,Epilepsy,4,0.010282776349614395
Skin or soft-tissue infection,GI bleed,4,0.010282776349614395
Skin or soft-tissue infection,Hypokalemia,4,0.010282776349614395
Skin or soft-tissue infection,Unsp intestnl obst,4,0.010282776349614395
UTI or pyelonephritis,End stage renal disease,4,0.009685230024213076
UTI or pyelonephritis,Hypotension,4,0.009685230024213076
UTI or pyelonephritis,Multiple fractures of ribs,4,0.009685230024213076
Unsp intestnl obst,Dehydration,4,0.03418803418803419
Unsp intestnl obst,Hypokalemia,4,0.03418803418803419
Unsp intestnl obst,Sepsis,4,0.03418803418803419
Unspecified atrial fibrillation,Acute kidney failure,4,0.0223463687150838
