true,predicted,count,share_of_true_class
GI bleed,Head injury,1,0.0033112582781456954
GI bleed,Heart failure,1,0.0033112582781456954
GI bleed,Limb injury or pain,1,0.0033112582781456954
Head injury,Acute kidney failure,1,0.00199203187250996
Head injury,Acute pharyngitis,1,0.00199203187250996
Head injury,Major depressive disorder,1,0.00199203187250996
Heart failure,Hypokalemia,1,0.011764705882352941
Heart failure,Hypotension,1,0.011764705882352941
Hypokalemia,Alcohol abuse with intoxication,1,0.007874015748031496
Hypokalemia,Hypotension,1,0.007874015748031496
Hypokalemia,Hypothyroidism,1,0.007874015748031496
Hypokalemia,Major depressive disorder,1,0.007874015748031496
Hypokalemia,Skin or soft-tissue infection,1,0.007874015748031496
Hypotension,Acute kidney failure,1,0.02127659574468085
Hypotension,Acute upper respiratory infection,1,0.02127659574468085
Hypotension,Alcohol abuse with intoxication,1,0.02127659574468085
Hypotension,Anemia,1,0.02127659574468085
Hypotension,Anxiety disorder,1,0.02127659574468085
Hypotension,Diabetes mellitus,1,0.02127659574468085
Hypotension,Head injury,1,0.02127659574468085
Hypotension,Heart failure,1,0.02127659574468085
Hypotension,Hypokalemia,1,0.02127659574468085
Hypotension,Major depressive disorder,1,0.02127659574468085
Hypotension,UTI or pyelonephritis,1,0.02127659574468085
Hypotension,Unspecified atrial fibrillation,1,0.02127659574468085
Hypothyroidism,Alcohol abuse with intoxication,1,0.015384615384615385
Hypothyroidism,Epilepsy,1,0.015384615384615385
Hypothyroidism,Hypokalemia,1,0.015384615384615385
Hypothyroidism,Hypotension,1,0.015384615384615385
Hypothyroidism,Multiple fractures of ribs,1,0.015384615384615385
Hypothyroidism,Non-ST elevation (NSTEMI) myocardial infarction,1,0.015384615384615385
Hypothyroidism,Skin or soft-tissue infection,1,0.015384615384615385
Hypothyroidism,Unspecified atrial fibrillation,1,0.015384615384615385
Laceration w/o fb of l idx fngr w/o damage to nail,Anxiety disorder,1,0.00819672131147541
Laceration w/o fb of l idx fngr w/o damage to nail,Dehydration,1,0.00819672131147541
Laceration w/o fb of l idx fngr w/o damage to nail,Major depressive disorder,1,0.00819672131147541
Laceration w/o fb of l idx fngr w/o damage to nail,UTI or pyelonephritis,1,0.00819672131147541
Limb injury or pain,Acute pharyngitis,1,0.0011074197120708748
Limb injury or pain,Unsp intestnl obst,1,0.0011074197120708748
Lower respiratory disease,Acute pharyngitis,1,0.0027100271002710027
Lower respiratory disease,GI bleed,1,0.0027100271002710027
Lower respiratory disease,Laceration w/o fb of l idx fngr w/o damage to nail,1,0.0027100271002710027
Major depressive disorder,Acute kidney failure,1,0.003745318352059925
Major depressive disorder,Acute pharyngitis,1,0.003745318352059925
Major depressive disorder,Anemia,1,0.003745318352059925
Major depressive disorder,Dehydration,1,0.003745318352059925
Major depressive disorder,Diabetes mellitus,1,0.003745318352059925
Major depressive disorder,Hypokalemia,1,0.003745318352059925
Major depressive disorder,Hypothyroidism,1,0.003745318352059925
Major depressive disorder,Lower respiratory disease,1,0.003745318352059925
Major depressive disorder,UTI or pyelonephritis,1,0.003745318352059925
Major depressive disorder,Unsp intestnl obst,1,0.003745318352059925
Major depressive disorder,Unspecified asthma with (acute) exacerbation,1,0.003745318352059925
Multiple fractures of ribs,Acute upper respiratory infection,1,0.014285714285714285
Multiple fractures of ribs,Cardiovascular risk factor,1,0.014285714285714285
Multiple fractures of ribs,Diabetes mellitus,1,0.014285714285714285
Multiple fractures of ribs,Epilepsy,1,0.014285714285714285
Multiple fractures of ribs,Skin or soft-tissue infection,1,0.014285714285714285
Multiple fractures of ribs,Unsp intestnl obst,1,0.014285714285714285
Multiple fractures of ribs,Unspecified asthma with (acute) exacerbation,1,0.014285714285714285
Non-ST elevation (NSTEMI) myocardial infarction,Dehydration,1,0.013888888888888888
Non-ST elevation (NSTEMI) myocardial infarction,Hypokalemia,1,0.013888888888888888
Non-ST elevation (NSTEMI) myocardial infarction,Multiple fractures of ribs,1,0.013888888888888888
Non-ST elevation (NSTEMI) myocardial infarction,UTI or pyelonephritis,1,0.013888888888888888
Non-ST elevation (NSTEMI) myocardial infarction,Unspecified asthma with (acute) exacerbation,1,0.013888888888888888
Sepsis,Alcohol abuse with intoxication,1,0.024390243902439025
Sepsis,Anemia,1,0.024390243902439025
Sepsis,Dehydration,1,0.024390243902439025
Sepsis,Diabetes mellitus,1,0.024390243902439025
Sepsis,Heart failure,1,0.024390243902439025
Sepsis,Hypotension,1,0.024390243902439025
Sepsis,Skin or soft-tissue infection,1,0.024390243902439025
Sepsis,UTI or pyelonephritis,1,0.024390243902439025
Sepsis,Unspecified atrial fibrillation,1,0.024390243902439025
Skin or soft-tissue infection,Anxiety disorder,1,0.002570694087403599
Skin or soft-tissue infection,Hypotension,1,0.002570694087403599
UTI or pyelonephritis,Epilepsy,1,0.002421307506053269
UTI or pyelonephritis,Major depressive disorder,1,0.002421307506053269
Unsp intestnl obst,Anemia,1,0.008547008547008548
Unsp intestnl obst,Anxiety disorder,1,0.008547008547008548
Unsp intestnl obst,Epilepsy,1,0.008547008547008548
Unsp intestnl obst,Hypotension,1,0.008547008547008548
Unsp intestnl obst,Skin or soft-tissue infection,1,0.008547008547008548
Unspecified asthma with (acute) exacerbation,Dehydration,1,0.008928571428571428
Unspecified asthma with (acute) exacerbation,End stage renal disease,1,0.008928571428571428
Unspecified asthma with (acute) exacerbation,Heart failure,1,0.008928571428571428
Unspecified asthma with (acute) exacerbation,Hypokalemia,1,0.008928571428571428
Unspecified asthma with (acute) exacerbation,Hypothyroidism,1,0.008928571428571428
Unspecified asthma with (acute) exacerbation,Limb injury or pain,1,0.008928571428571428
Unspecified asthma with (acute) exacerbation,Skin or soft-tissue infection,1,0.008928571428571428
Unspecified asthma with (acute) exacerbation,UTI or pyelonephritis,1,0.008928571428571428
Unspecified atrial fibrillation,Alcohol abuse with intoxication,1,0.00558659217877095
Unspecified atrial fibrillation,Anemia,1,0.00558659217877095
Unspecified atrial fibrillation,Back or spine pain,1,0.00558659217877095
Unspecified atrial fibrillation,End stage renal disease,1,0.00558659217877095
Unspecified atrial fibrillation,Epilepsy,1,0.00558659217877095
Unspecified atrial fibrillation,GI bleed,1,0.00558659217877095
Unspecified atrial fibrillation,Hypothyroidism,1,0.00558659217877095
Unspecified atrial fibrillation,Laceration w/o fb of l idx fngr w/o damage to nail,1,0.00558659217877095
Unspecified atrial fibrillation,Skin or soft-tissue infection,1,0.00558659217877095
