threshold,tn,fp,fn,tp,predicted_home,predicted_admitted,acc,precision,recall,specificity,f1,balanced_acc,pr_auc
0.3,0,1248,0,752,0,2000,,0.376,1.0,0.0,0.546512,0.5,0.754966
0.36,0,1248,0,752,0,2000,,0.376,1.0,0.0,0.546512,0.5,0.754966
0.4,0,1248,0,752,0,2000,,0.376,1.0,0.0,0.546512,0.5,0.754966
0.5,386,862,20,732,406,1594,,0.459222,0.973404,0.309295,0.624041,0.64135,0.754966
0.505,887,361,141,611,1028,972,,0.628601,0.8125,0.710737,0.708817,0.761619,0.754966
0.6,1248,0,752,0,2000,0,,0.0,0.0,1.0,0.0,0.5,0.754966
0.7,1248,0,752,0,2000,0,,0.0,0.0,1.0,0.0,0.5,0.754966
