epoch,train_loss,train_acc,eval_loss,eval_acc,eval_f1,eval_pr_auc,eval_recall,eval_precision
0,1.182042,0.376125,0.690154,0.3765,0.54671,0.720439,1.0,0.376188
1,1.030714,0.566063,0.686597,0.546,0.614928,0.736317,0.964096,0.451432
2,0.940718,0.691937,0.680177,0.6795,0.669758,0.7307,0.864362,0.546678
3,0.869407,0.7325,0.668079,0.7105,0.685155,0.715497,0.837766,0.579577
4,0.798744,0.767875,0.636891,0.751,0.693727,0.697926,0.75,0.645309
5,0.652193,0.78575,0.533457,0.7485,0.703595,0.708872,0.793883,0.631746
6,0.494426,0.78275,0.503561,0.76,0.701121,0.733641,0.74867,0.659251
7,0.457414,0.797125,0.513603,0.7625,0.699177,0.72951,0.734043,0.667473
8,0.424126,0.81075,0.571568,0.759,0.674764,0.712244,0.664894,0.684932
9,0.402227,0.822875,0.53392,0.7515,0.689956,0.722383,0.735372,0.649824
10,0.375916,0.834937,0.580349,0.7545,0.659264,0.712709,0.631649,0.689405
11,0.350186,0.844125,0.582849,0.743,0.683887,0.704613,0.739362,0.636156
12,0.318555,0.861437,0.644311,0.75,0.667111,0.692262,0.666223,0.668
13,0.300618,0.867062,0.677005,0.736,0.638356,0.69118,0.619681,0.658192
14,0.281101,0.879188,0.712039,0.754,0.655944,0.684557,0.62367,0.69174
15,0.2558,0.8925,0.712062,0.743,0.655496,0.669951,0.650266,0.660811
16,0.242471,0.895625,0.703476,0.7345,0.661136,0.662165,0.68883,0.635583
17,0.229089,0.903438,0.741265,0.7355,0.659369,0.662963,0.680851,0.639201
18,0.207761,0.913312,0.781562,0.736,0.653997,0.666289,0.663564,0.644703
19,0.197606,0.91725,0.777961,0.7215,0.665465,0.641923,0.736702,0.606791
20,0.180294,0.92375,0.803573,0.7245,0.651486,0.657145,0.68484,0.62123
21,0.167611,0.930125,0.850851,0.7285,0.6548,0.642136,0.68484,0.627284
22,0.151291,0.939875,0.888143,0.729,0.641534,0.640245,0.644947,0.638158
