epoch,train_loss,val_acc,val_balanced_acc,val_f1,val_fn,val_fp,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc,val_specificity,val_threshold,val_tn,val_tp
0,0.7292068004608154,0.39,0.46481380480562373,0.3104747550866616,136,779,0.7142539620399475,0.2262883730491551,0.20913705583756345,0.6023391812865497,0.45918805361128784,0.32728842832469773,0.5,379,206
1,0.713424801826477,0.468,0.4607308426506681,0.27717391304347827,189,609,0.7066348195075989,0.2332201483201402,0.20078740157480315,0.4473684210526316,0.46323819046753323,0.4740932642487047,0.5,549,153
2,0.705361545085907,0.5753333333333334,0.49006908462867016,0.2635838150289017,228,409,0.702579140663147,0.23739772742520338,0.2179732313575526,0.3333333333333333,0.4710379864456766,0.646804835924007,0.5,749,114
3,0.7029651403427124,0.6353333333333333,0.5000833257582644,0.239221140472879,256,291,0.6994243860244751,0.24313601325970527,0.22811671087533156,0.25146198830409355,0.4846983607550829,0.7487046632124352,0.5,867,86
4,0.7012178301811218,0.67,0.5081128988273793,0.22535211267605634,270,225,0.6961693167686462,0.25100727980659654,0.24242424242424243,0.21052631578947367,0.5044516155097011,0.805699481865285,0.5,933,72
5,0.6960224509239197,0.6713333333333333,0.519278550434809,0.24961948249619484,260,233,0.6929172277450562,0.26216698976303904,0.26031746031746034,0.23976608187134502,0.5256567584765022,0.7987910189982729,0.5,925,82
6,0.6930898427963257,0.652,0.5304517771111718,0.28688524590163933,237,285,0.6898916363716125,0.2722122222396089,0.2692307692307692,0.30701754385964913,0.5451221606116616,0.7538860103626943,0.5,873,105
7,0.6905813813209534,0.6173333333333333,0.5450868102899736,0.3294392523364486,201,373,0.6873452067375183,0.2796682326242007,0.27431906614785995,0.41228070175438597,0.5616837863224555,0.6778929188255614,0.5,785,141
8,0.6881495714187622,0.578,0.5433066690906887,0.3413111342351717,178,455,0.6853951811790466,0.28346136815438994,0.2649434571890145,0.47953216374269003,0.5740159985455868,0.6070811744386874,0.5,703,164
9,0.6871259808540344,0.5486666666666666,0.5562448868284702,0.3655107778819119,147,530,0.6839151978492737,0.28733511239247395,0.2689655172413793,0.5701754385964912,0.583901463503318,0.542314335060449,0.5,628,195
