explainer,feature,mean_abs_importance,mean_signed_importance,max_abs_importance,count
GNNExplainer,urine_output_total,0.151743363,0.151743363,0.17039077,30
GNNExplainer,sofa_score,0.149924133,0.149924133,0.175375417,30
GNNExplainer,systolic_bp_mean,0.149872015,0.149872015,0.175075382,30
GNNExplainer,comorbidity_score,0.149834095,0.149834095,0.167226806,30
GNNExplainer,apache_score,0.148919813,0.148919813,0.167985931,30
GNNExplainer,heart_rate_std,0.14888323,0.14888323,0.169994578,30
GNNExplainer,length_of_stay_days,0.148817315,0.148817315,0.171301574,30
GNNExplainer,temperature_mean,0.148707765,0.148707765,0.175428137,30
GNNExplainer,sepsis_flag,0.148678717,0.148678717,0.165430948,30
GNNExplainer,glucose_mean,0.148531455,0.148531455,0.163057089,30
GNNExplainer,gender,0.148507709,0.148507709,0.164349541,30
GNNExplainer,respiratory_rate_mean,0.148285495,0.148285495,0.163681686,30
GNNExplainer,spo2_mean,0.148276619,0.148276619,0.168303907,30
GNNExplainer,lactate_mean,0.148159126,0.148159126,0.173919559,30
GNNExplainer,heart_rate_min,0.147917688,0.147917688,0.167383701,30
GNNExplainer,admission_type,0.14753419,0.14753419,0.167980075,30
GNNExplainer,vasopressor_used,0.147478173,0.147478173,0.161889568,30
GNNExplainer,heart_rate_mean,0.147105396,0.147105396,0.170540586,30
GNNExplainer,systolic_bp_std,0.147045853,0.147045853,0.163616911,30
GNNExplainer,ventilation_required,0.146653348,0.146653348,0.165133178,30
GNNExplainer,age,0.146586407,0.146586407,0.163593367,30
GNNExplainer,heart_rate_max,0.145024301,0.145024301,0.161280677,30
GradExplainer,apache_score,0.0057071,0.004333158,0.020506063,30
GradExplainer,sofa_score,0.005468231,0.003840054,0.01908646,30
GradExplainer,age,0.005315793,0.003943461,0.015048426,30
GradExplainer,ventilation_required,0.005011075,0.003691979,0.011967416,30
GradExplainer,sepsis_flag,0.004419572,0.003042161,0.013846567,30
GradExplainer,comorbidity_score,0.004397765,0.003400414,0.009865642,30
GradExplainer,vasopressor_used,0.003869714,0.002871483,0.007523382,30
GradExplainer,systolic_bp_mean,0.002108191,-0.001069844,0.00683663,30
GradExplainer,length_of_stay_days,0.001611905,0.000733876,0.006185092,30
GradExplainer,respiratory_rate_mean,0.001395162,-0.001063544,0.010344656,30
GradExplainer,heart_rate_min,0.001327296,-0.000452648,0.005482476,30
GradExplainer,gender,0.001217147,0.000224356,0.004360694,30
GradExplainer,lactate_mean,0.001122969,0.000145132,0.00515934,30
GradExplainer,urine_output_total,0.001066198,0.000196591,0.004411196,30
GradExplainer,heart_rate_max,0.001053956,-0.000424083,0.003721179,30
GradExplainer,temperature_mean,0.001053062,0.000591006,0.006095869,30
GradExplainer,heart_rate_std,0.001014414,-0.000173183,0.003391697,30
GradExplainer,heart_rate_mean,0.000931943,0.000176,0.003657616,30
GradExplainer,admission_type,0.000847814,-7.55E-05,0.002223778,30
GradExplainer,systolic_bp_std,0.000835799,0.000382785,0.004333777,30
GradExplainer,spo2_mean,0.000827708,8.30E-05,0.004127931,30
GradExplainer,glucose_mean,0.00079721,0.000243732,0.004321598,30
IntegratedGradExplainer,sofa_score,0.006085502,-0.000201881,0.031147541,30
IntegratedGradExplainer,ventilation_required,0.005680023,0.000848881,0.024675725,30
IntegratedGradExplainer,apache_score,0.005175617,-0.002201544,0.029045057,30
IntegratedGradExplainer,comorbidity_score,0.004961453,0.000877791,0.018876594,30
IntegratedGradExplainer,vasopressor_used,0.004136859,-8.08E-05,0.020809269,30
IntegratedGradExplainer,age,0.004121286,-0.000675868,0.013345469,30
IntegratedGradExplainer,sepsis_flag,0.00397758,0.000184047,0.012860388,30
IntegratedGradExplainer,respiratory_rate_mean,0.001689276,-4.48E-05,0.011565822,30
IntegratedGradExplainer,heart_rate_min,0.001598185,0.000135521,0.008232594,30
IntegratedGradExplainer,systolic_bp_mean,0.001557949,-0.000177587,0.005254613,30
IntegratedGradExplainer,gender,0.001232828,-0.000192823,0.003574528,30
IntegratedGradExplainer,length_of_stay_days,0.001212001,-0.000174582,0.005633033,30
IntegratedGradExplainer,heart_rate_max,0.001133604,0.000102468,0.00419455,30
IntegratedGradExplainer,urine_output_total,0.00104638,0.000588971,0.008580905,30
IntegratedGradExplainer,lactate_mean,0.001025827,-0.000193138,0.007109158,30
IntegratedGradExplainer,heart_rate_mean,0.000975696,0.000662484,0.003492077,30
IntegratedGradExplainer,heart_rate_std,0.000863155,0.000194961,0.00481428,30
IntegratedGradExplainer,glucose_mean,0.000752514,-0.000149327,0.003475014,30
IntegratedGradExplainer,systolic_bp_std,0.000701357,5.24E-05,0.002960649,30
IntegratedGradExplainer,spo2_mean,0.000597305,8.85E-05,0.004165543,30
IntegratedGradExplainer,admission_type,0.000457897,-9.34E-05,0.003020437,30
IntegratedGradExplainer,temperature_mean,0.000436169,6.70E-05,0.004298385,30
