GRAPHCARE (Method B) -- model-direct on merged_ed.csv
  dataset          : merged_ed.csv (limit=None)
  KG               : 259 nodes, 2 rels (ontology+PMI)
  model            : GraphCare BAT-GNN, dim=128, layers=2
  classes          : 30
  epochs run       : 1

TEST SET PERFORMANCE
  accuracy        : 0.546808
  balanced_acc    : 0.396706
  macro_f1        : 0.418618
  micro_f1        : 0.546808
  top3_acc        : 0.741953
  top5_acc        : 0.818535
