explainer,feature,mean_abs_importance,mean_signed_importance,max_abs_importance,count
GNNExplainer,sepsis_flag,0.15359908938407899,0.15359908938407899,0.18117655813694,30
GNNExplainer,spo2_mean,0.15269897878170013,0.15269897878170013,0.17097987234592438,30
GNNExplainer,sofa_score,0.1514569585522016,0.1514569585522016,0.16971586644649506,30
GNNExplainer,admission_type,0.15106232166290284,0.15106232166290284,0.16743047535419464,30
GNNExplainer,temperature_mean,0.15033625016609828,0.15033625016609828,0.16899237036705017,30
GNNExplainer,vasopressor_used,0.15006479968627293,0.15006479968627293,0.17051537334918976,30
GNNExplainer,glucose_mean,0.14991496801376342,0.14991496801376342,0.17477580904960632,30
GNNExplainer,systolic_bp_mean,0.1494407559434573,0.1494407559434573,0.16068190336227417,30
GNNExplainer,heart_rate_std,0.149115156630675,0.149115156630675,0.17114098370075226,30
GNNExplainer,urine_output_total,0.14902381251255672,0.14902381251255672,0.16932667791843414,30
GNNExplainer,ventilation_required,0.14872537155946094,0.14872537155946094,0.16406163573265076,30
GNNExplainer,apache_score,0.14859768052895864,0.14859768052895864,0.16169977188110352,30
GNNExplainer,heart_rate_max,0.14836813807487487,0.14836813807487487,0.1635371595621109,30
GNNExplainer,heart_rate_mean,0.1483171835541725,0.1483171835541725,0.17340560257434845,30
GNNExplainer,gender,0.14794816176096598,0.14794816176096598,0.163756862282753,30
GNNExplainer,lactate_mean,0.14759822736183803,0.14759822736183803,0.16636748611927032,30
GNNExplainer,heart_rate_min,0.1474319835503896,0.1474319835503896,0.16907832026481628,30
GNNExplainer,comorbidity_score,0.1473289708296458,0.1473289708296458,0.1705244779586792,30
GNNExplainer,respiratory_rate_mean,0.1466071330010891,0.1466071330010891,0.16199778020381927,30
GNNExplainer,age,0.14652700275182723,0.14652700275182723,0.17081524431705475,30
GNNExplainer,length_of_stay_days,0.14576258411010107,0.14576258411010107,0.16210415959358215,30
GNNExplainer,systolic_bp_std,0.14494972775379816,0.14494972775379816,0.1652361899614334,30
GradExplainer,age,0.004053159941880343,0.0017416455850858862,0.00862790271639824,30
GradExplainer,sofa_score,0.004022522380303902,0.001694902049105925,0.0072644492611289024,30
GradExplainer,apache_score,0.0039940431636447705,0.0015091186311716835,0.010215834714472294,30
GradExplainer,ventilation_required,0.0037349321219759682,0.0010566714025723436,0.009882552549242973,30
GradExplainer,comorbidity_score,0.0033343809705305223,0.0011397399988103036,0.008036557585000992,30
GradExplainer,sepsis_flag,0.0027593857405008746,0.0010770956122238809,0.006425816565752029,30
GradExplainer,vasopressor_used,0.0027574990652889635,0.0006782769972536092,0.007553147152066231,30
GradExplainer,systolic_bp_mean,0.0012666295833090166,-0.0005049866274930536,0.003078088164329529,30
GradExplainer,heart_rate_max,0.0008272446250657594,-4.989178803498362e-05,0.002885695081204176,30
GradExplainer,lactate_mean,0.0007990318180115234,3.791794012310372e-05,0.0038687349297106266,30
GradExplainer,length_of_stay_days,0.0007658113303477876,0.0001381549356059016,0.0022195414640009403,30
GradExplainer,respiratory_rate_mean,0.00075809453689241,-0.00032913961804297286,0.0020614322274923325,30
GradExplainer,gender,0.0006919930388297264,0.00013582634079890946,0.0034742793068289757,30
GradExplainer,heart_rate_min,0.0006802985786634963,-0.00012432939280794623,0.0018598209135234356,30
GradExplainer,heart_rate_mean,0.0006378411479090573,0.00023541319133073556,0.0019121278310194612,30
GradExplainer,glucose_mean,0.0005379854811205102,-0.00014020594796117317,0.0016487996326759458,30
GradExplainer,systolic_bp_std,0.0005295297000884602,0.00022727278740906817,0.001961967907845974,30
GradExplainer,heart_rate_std,0.0004748192193801515,-6.766710721421987e-05,0.0018762919353321195,30
GradExplainer,admission_type,0.0004718582846786982,-7.04657034172366e-05,0.0024081580340862274,30
GradExplainer,temperature_mean,0.0004534985926208416,-6.687662338057028e-05,0.0013180773239582777,30
GradExplainer,urine_output_total,0.0004040941800061167,4.650312181790165e-05,0.0012050907826051116,30
GradExplainer,spo2_mean,0.0003985269329859875,0.0001671310717938468,0.0014209842775017023,30
IntegratedGradExplainer,ventilation_required,0.0033167258215447267,0.0010029334885378678,0.007498929742723703,30
IntegratedGradExplainer,apache_score,0.0032221279242852082,-0.0005617752419008563,0.011960478499531746,30
IntegratedGradExplainer,age,0.0031721371432392215,0.0012541886683645014,0.00999921653419733,30
IntegratedGradExplainer,comorbidity_score,0.003116963086843801,0.0004438687765893216,0.00752995302900672,30
IntegratedGradExplainer,sofa_score,0.0030082756740739567,0.0006766836382060622,0.008512478321790695,30
IntegratedGradExplainer,vasopressor_used,0.002252663937785352,0.00011676681266787151,0.004574781749397516,30
IntegratedGradExplainer,sepsis_flag,0.0017760651050290714,-0.0014666339324321599,0.006566980388015509,30
IntegratedGradExplainer,systolic_bp_mean,0.0008229300668972428,0.00013284684737300268,0.003106179414317012,30
IntegratedGradExplainer,heart_rate_max,0.0007890959043379553,-0.00027549084117405677,0.0031455084681510925,30
IntegratedGradExplainer,lactate_mean,0.0006952645945754436,6.227493496832418e-05,0.0038018689956516027,30
IntegratedGradExplainer,respiratory_rate_mean,0.0006273964396314114,0.0002521555768301672,0.003030837746337056,30
IntegratedGradExplainer,heart_rate_mean,0.0006252422942452541,0.00029840848040597244,0.003147973446175456,30
IntegratedGradExplainer,heart_rate_min,0.0006113449853965373,0.000157540079551192,0.002126889070495963,30
IntegratedGradExplainer,gender,0.0005695807249139762,0.00017532538877276238,0.001643572119064629,30
IntegratedGradExplainer,length_of_stay_days,0.0005307457506811867,8.540139873124039e-05,0.00201816251501441,30
IntegratedGradExplainer,temperature_mean,0.0004243520945540998,-0.0001430142897334008,0.0023348035756498575,30
IntegratedGradExplainer,systolic_bp_std,0.00039791915206327153,-5.2613962050903256e-05,0.0016820214223116636,30
IntegratedGradExplainer,heart_rate_std,0.00039081051639489793,0.0001609258386148819,0.0009901579469442368,30
IntegratedGradExplainer,glucose_mean,0.0003794454513808887,-7.091904168798162e-05,0.002333692740648985,30
IntegratedGradExplainer,urine_output_total,0.0003452402980807771,0.0001522451100906134,0.0015357771189883351,30
IntegratedGradExplainer,admission_type,0.00032078519100574944,-1.4701048579960721e-05,0.0010646648006513715,30
IntegratedGradExplainer,spo2_mean,0.0002733213663115445,7.063272397545006e-05,0.0014708421658724546,30
