trial,clst,sep,returncode,best_epoch,best_eval_pr_auc,best_eval_acc,epochs_run,test_pr_auc,test_f1,test_precision,test_recall,test_specificity,test_balanced_acc,test_acc,threshold,tn,fp,fn,tp,log_path
1,0.01,0.001,0,6,0.714167,0.7315,28,0.684345,0.671471,0.612267,0.743351,0.716346,0.729849,0.7265,0.465,894,354,193,559,/Users/necatifurkancolak/MP---Self-Explainable-Graph-Neural-Networks-via-Prototype-Learning-for-Medical-Diagnosis/outputs/prototype_hpo/trial_01_clst_0.01_sep_0.001.log
2,0.005,0.0,0,6,0.706889,0.737,28,0.675878,0.691194,0.63245,0.761968,0.733173,0.747571,0.744,0.485,915,333,179,573,/Users/necatifurkancolak/MP---Self-Explainable-Graph-Neural-Networks-via-Prototype-Learning-for-Medical-Diagnosis/outputs/prototype_hpo/trial_02_clst_0.005_sep_0.log
3,0.005,0.001,0,6,0.709092,0.742,28,0.696089,0.674802,0.62345,0.735372,0.732372,0.733872,0.7335,0.46,914,334,199,553,/Users/necatifurkancolak/MP---Self-Explainable-Graph-Neural-Networks-via-Prototype-Learning-for-Medical-Diagnosis/outputs/prototype_hpo/trial_03_clst_0.005_sep_0.001.log
4,0.01,0.0,0,1,0.713408,0.7285,23,0.704967,0.675159,0.597949,0.775266,0.685897,0.730582,0.7195,0.5,856,392,169,583,/Users/necatifurkancolak/MP---Self-Explainable-Graph-Neural-Networks-via-Prototype-Learning-for-Medical-Diagnosis/outputs/prototype_hpo/trial_04_clst_0.01_sep_0.log
5,0.02,0.0,0,6,0.719043,0.735,28,0.690309,0.682897,0.62963,0.746011,0.735577,0.740794,0.7395,0.475,918,330,191,561,/Users/necatifurkancolak/MP---Self-Explainable-Graph-Neural-Networks-via-Prototype-Learning-for-Medical-Diagnosis/outputs/prototype_hpo/trial_05_clst_0.02_sep_0.log
6,0.02,0.001,0,1,0.716095,0.7315,23,0.703355,0.67128,0.592668,0.773936,0.679487,0.726712,0.715,0.5,848,400,170,582,/Users/necatifurkancolak/MP---Self-Explainable-Graph-Neural-Networks-via-Prototype-Learning-for-Medical-Diagnosis/outputs/prototype_hpo/trial_06_clst_0.02_sep_0.001.log
7,0.001,0.0,0,5,0.701049,0.7175,27,0.671773,0.676417,0.624297,0.738032,0.732372,0.735202,0.7345,0.545,914,334,197,555,/Users/necatifurkancolak/MP---Self-Explainable-Graph-Neural-Networks-via-Prototype-Learning-for-Medical-Diagnosis/outputs/prototype_hpo/trial_07_clst_0.001_sep_0.log
8,0.001,0.0001,0,9,0.695529,0.7475,31,0.672459,0.676961,0.632065,0.728723,0.744391,0.736557,0.7385,0.445,929,319,204,548,/Users/necatifurkancolak/MP---Self-Explainable-Graph-Neural-Networks-via-Prototype-Learning-for-Medical-Diagnosis/outputs/prototype_hpo/trial_08_clst_0.001_sep_0.0001.log
