threshold,tn,fp,fn,tp,predicted_home,predicted_admitted,acc,precision,recall,specificity,f1,balanced_acc,pr_auc
0.3,697,551,67,685,764,1236,,0.554207,0.910904,0.558494,0.689135,0.734699,0.750913
0.36,794,454,90,662,884,1116,,0.59319,0.880319,0.636218,0.708779,0.758269,0.750913
0.4,851,397,117,635,968,1032,,0.61531,0.844415,0.681891,0.711883,0.763153,0.750913
0.5,956,292,177,575,1133,867,,0.663206,0.764628,0.766026,0.710315,0.765327,0.750913
0.515,974,274,194,558,1168,832,,0.670673,0.742021,0.780449,0.704545,0.761235,0.750913
0.6,1052,196,247,505,1299,701,,0.720399,0.671543,0.842949,0.695114,0.757246,0.750913
0.7,1108,140,319,433,1427,573,,0.755672,0.575798,0.887821,0.653585,0.731809,0.750913
