threshold,tn,fp,fn,tp,predicted_home,predicted_admitted,acc,precision,recall,specificity,f1,balanced_acc,pr_auc
0.3,748,500,83,669,831,1169,,0.572284,0.889628,0.599359,0.696512,0.744493,0.744182
0.36,828,420,110,642,938,1062,,0.60452,0.853723,0.663462,0.707828,0.758592,0.744182
0.4,876,372,133,619,1009,991,,0.624622,0.823138,0.701923,0.71027,0.762531,0.744182
0.5,980,268,198,554,1178,822,,0.673966,0.736702,0.785256,0.703939,0.760979,0.744182
0.51,994,254,203,549,1197,803,,0.683686,0.730053,0.796474,0.706109,0.763264,0.744182
0.6,1056,192,270,482,1326,674,,0.715134,0.640957,0.846154,0.676017,0.743556,0.744182
0.7,1113,135,348,404,1461,539,,0.749536,0.537234,0.891827,0.625871,0.71453,0.744182
