number,value,params_dropout,params_edge_weight_mode,params_hidden_dim,params_lr,params_model_type,params_num_layers,params_weight_decay,state,user_attrs_best_epoch,user_attrs_last_val_balanced_acc,user_attrs_last_val_f1
0,0.35349913027221713,0.10702944802483476,threshold_0_7,64,0.000943502846266456,gcn,3,0.0018826774841506294,COMPLETE,60,0.6035511923158501,0.4108527131782946
1,0.34025994538870985,0.18685176867121533,none,32,0.003295787303224361,gcn,2,0.000700233104901399,COMPLETE,73,0.6053161833772687,0.4139228598306679
2,0.3422874310554468,0.4948170486369333,similarity,64,0.0016000299148820737,gcn,4,8.331160984879923e-05,COMPLETE,139,0.6062176165803108,0.41605839416058393
3,0.34527173417708296,0.25964501692442166,none,32,0.0038036648818897145,gcn,2,0.0014066521018789087,COMPLETE,98,0.613421507135715,0.42165242165242167
4,0.3692867662535621,0.2649736051868049,,32,0.0025253905446520806,sage,4,0.00035853268005848983,COMPLETE,86,0.6153607247825955,0.4262008733624454
5,0.3528718640290322,0.546031615675287,squared,64,0.0019249954950029782,gcn,3,0.002133777180470994,COMPLETE,35,0.618905857043299,0.4276377217553688
6,0.35353937685219466,0.34901754047059874,threshold_0_7,32,0.0017606296660506175,gcn,4,0.0003740254464478552,COMPLETE,92,0.6078083810562676,0.41651031894934337
7,0.3261693227144759,0.5221977292166194,squared,32,0.000465763861390214,gcn,2,3.3330149687206994e-05,COMPLETE,124,0.6060358149259159,0.41104294478527603
8,0.26699191993649873,0.26553854341251365,similarity,32,0.00014838486708828395,gcn,2,1.56723039265098e-05,COMPLETE,139,0.521308668908887,0.3431952662721893
9,0.34164570619484,0.2573245682223544,none,128,0.0010914792484405535,gcn,3,0.001612394581087634,COMPLETE,138,0.6073084265066813,0.41555977229601515
10,0.35938371480903564,0.38726899899450706,,128,0.008072136216434905,sage,4,1.8596848633185812e-06,COMPLETE,61,0.596763930551768,0.4115702479338843
11,0.35542504591949786,0.3715340377916665,,128,0.009966734549629028,sage,4,1.697408872890958e-06,COMPLETE,26,0.6267157531133534,0.43566176470588236
12,0.35667126369259644,0.44155893981948346,,128,0.008844732107201143,sage,4,2.0938525148309816e-06,COMPLETE,34,0.6061797412356452,0.41470311027332707
13,0.35786729234723813,0.4205102670049591,,128,0.004704076501860557,sage,4,0.00015930819313784674,COMPLETE,42,0.6201784686240644,0.4306887532693985
14,0.35354078204253275,0.6278194470876044,,128,0.005571922453203836,sage,4,7.155131088323437e-06,COMPLETE,31,0.6115883404538982,0.4182358771060456
15,0.3473341590362976,0.3300866328875954,,32,0.00041458998163129257,sage,3,0.00020049895167640531,COMPLETE,139,0.6149137957155411,0.4224806201550388
16,0.36203862562207517,0.16921515474998666,,128,0.0026373261978724087,sage,4,3.955370270354926e-06,COMPLETE,8,0.6030285125594643,0.41310282074613286
17,0.35554121550021256,0.10933289738899404,,128,0.002579538074645053,sage,3,6.293341954199822e-06,COMPLETE,63,0.5999984849862134,0.40800762631077214
18,0.3527276153521547,0.17952994249038262,,32,0.0005767510591735461,sage,4,4.463375716208043e-05,COMPLETE,93,0.6132548556191861,0.42135367016205916
19,0.332404459970445,0.18540047321988845,,64,0.00010982536865576326,sage,4,5.271478897452963e-06,COMPLETE,138,0.6184968033209102,0.4249748237663646
20,0.3542303131507151,0.2998956123221694,,128,0.0009056457123876053,sage,3,2.1640580299441827e-05,COMPLETE,23,0.6038163197285096,0.41090555014605645
21,0.3625310542620871,0.22164184469170678,,128,0.006351281792985952,sage,4,1.4677215809996019e-06,COMPLETE,24,0.6063236675453747,0.41783216783216787
22,0.35892883006956544,0.2175502802780408,,128,0.005503909450911121,sage,4,1.1245929149430504e-06,COMPLETE,36,0.6059297639608521,0.4186440677966102
23,0.35293694524416863,0.14406223000803076,,128,0.00264193967976449,sage,4,3.720674506501795e-06,COMPLETE,34,0.5892721873769051,0.39926402943882244
24,0.3547580469910619,0.2240633727466511,,128,0.005734736030021348,sage,4,1.3199518827570194e-05,COMPLETE,28,0.6115656152470987,0.4209558823529412
